record_id,vehicle_vin,day_idx,sample_idx,timestamp,speed_kmh,motor_rpm,battery_soc,battery_voltage,battery_current,battery_temp_c,state_at_sample,assigned_day_index,ved_reference_veh_id,synthetic_gap_indicator,event_sequence_index,latitude,longitude,accel_z,telemetry_coverage,subject_zone
EV_REC_0019,VF8VNF_0001,0,19,2026-01-01T04:45:00,0.0,0,91.46,375.39,-1.44,33.37,IDLE,0,10,False,19,52.497627,13.393506,0.0,full,EU
EV_REC_0020,VF8VNF_0001,0,20,2026-01-01T05:00:00,0.0,0,90.67,376.91,0.96,24.48,IDLE,0,10,False,20,52.499245,13.377931,0.0,full,EU
EV_REC_0021,VF8VNF_0001,0,21,2026-01-01T05:15:00,0.0,0,92.78,379.66,-2.16,29.56,IDLE,0,10,False,21,52.499976,13.379709,0.0,full,EU
EV_REC_0022,VF8VNF_0001,0,22,2026-01-01T05:30:00,0.0,0,92.58,382.95,0.66,28.69,IDLE,0,10,False,22,52.504461,13.371672,0.0,full,EU
EV_REC_0023,VF8VNF_0001,0,23,2026-01-01T05:45:00,0.0,0,93.67,379.05,-4.69,30.32,IDLE,0,10,False,23,52.508139,13.377122,0.0,full,EU
EV_REC_0024,VF8VNF_0001,0,24,2026-01-01T06:00:00,9.96,778,93.03,381.3,22.68,36.2,DEADHEAD,0,10,False,24,52.512840,13.408321,0.247,full,EU
EV_REC_0025,VF8VNF_0001,0,25,2026-01-01T06:15:00,32.05,2390,92.76,377.23,21.97,33.82,DRIVING_PASSENGER,0,10,False,25,52.495375,13.390793,0.367,full,EU
EV_REC_0026,VF8VNF_0001,0,26,2026-01-01T06:30:00,27.66,2071,90.17,380.95,29.17,32.52,DRIVING_PASSENGER,0,10,False,26,52.468908,13.348675,-0.852,full,EU
EV_REC_0027,VF8VNF_0001,0,27,2026-01-01T06:45:00,0.0,0,88.41,377.54,2.71,26.53,IDLE,0,10,False,27,52.499986,13.373176,0.0,full,EU
EV_REC_0028,VF8VNF_0001,0,28,2026-01-01T07:00:00,12.49,1002,88.9,377.85,22.8,29.59,DRIVING_PASSENGER,0,10,False,28,52.499487,13.380579,0.327,full,EU
EV_REC_0029,VF8VNF_0001,0,29,2026-01-01T07:15:00,23.22,2015,87.99,380.65,5.19,24.8,DRIVING_PASSENGER,0,10,False,29,52.503505,13.379079,0.456,full,EU
EV_REC_0030,VF8VNF_0001,0,30,2026-01-01T07:30:00,0.0,0,30.6,371.57,-1.0,28.61,IDLE,0,10,False,30,52.511214,13.373476,0.0,full,EU
EV_REC_0031,VF8VNF_0001,0,31,2026-01-01T07:45:00,0.0,0,84.59,380.46,-0.15,32.05,IDLE,0,10,False,31,52.503003,13.369552,0.0,full,EU
EV_REC_0032,VF8VNF_0001,0,32,2026-01-01T08:00:00,0.0,0,28.83,370.46,2.66,26.72,IDLE,0,10,False,32,52.506091,13.368745,0.0,full,EU
EV_REC_0033,VF8VNF_0001,0,33,2026-01-01T08:15:00,0.0,0,31.78,369.51,2.87,29.97,IDLE,0,10,False,33,52.498449,13.370815,0.0,full,EU
EV_REC_0034,VF8VNF_0001,0,34,2026-01-01T08:30:00,0.0,0,81.59,379.08,1.09,32.97,IDLE,0,10,False,34,52.499410,13.387911,0.0,full,EU
EV_REC_0035,VF8VNF_0001,0,35,2026-01-01T08:45:00,46.87,3090,81.96,380.81,18.03,22.63,DRIVING_PASSENGER,0,10,False,35,52.500910,13.410824,-0.075,full,EU
EV_REC_0036,VF8VNF_0001,0,36,2026-01-01T09:00:00,0.0,0,32.05,371.28,-1.57,38.39,IDLE,0,10,False,36,52.501407,13.371804,0.0,full,EU
EV_REC_0037,VF8VNF_0001,0,37,2026-01-01T09:15:00,0.0,0,30.98,371.32,1.9,30.24,IDLE,0,10,False,37,52.497075,13.376176,0.0,full,EU
EV_REC_0038,VF8VNF_0001,0,38,2026-01-01T09:30:00,0.0,0,29.44,369.67,-3.9,29.84,IDLE,0,10,False,38,52.500968,13.376695,0.0,full,EU
EV_REC_0039,VF8VNF_0001,0,39,2026-01-01T09:45:00,0.0,0,29.75,369.55,1.51,22.69,IDLE,0,10,False,39,52.497142,13.371576,0.0,full,EU
EV_REC_0040,VF8VNF_0001,0,40,2026-01-01T10:00:00,0.0,0,30.38,370.3,0.04,33.57,IDLE,0,10,False,40,52.499547,13.376190,0.0,full,EU
EV_REC_0041,VF8VNF_0001,0,41,2026-01-01T10:15:00,0.0,0,30.4,373.89,0.11,29.54,IDLE,0,10,False,41,52.493669,13.376736,0.0,full,EU
EV_REC_0042,VF8VNF_0001,0,42,2026-01-01T10:30:00,0.0,0,31.29,370.76,-2.65,23.39,IDLE,0,10,False,42,52.492379,13.370389,0.0,full,EU
EV_REC_0043,VF8VNF_0001,0,43,2026-01-01T10:45:00,0.0,0,30.49,370.42,-52.13,34.13,CHARGING,0,10,False,43,52.498924,13.381224,0.0,full,EU
EV_REC_0044,VF8VNF_0001,0,44,2026-01-01T11:00:00,0.0,0,46.03,376.05,-45.79,30.84,CHARGING,0,10,False,44,52.500187,13.372148,0.0,full,EU
EV_REC_0045,VF8VNF_0001,0,45,2026-01-01T11:15:00,0.0,0,59.79,375.53,-38.05,31.51,CHARGING,0,10,False,45,52.503387,13.367999,0.0,full,EU
EV_REC_0046,VF8VNF_0001,0,46,2026-01-01T11:30:00,0.0,0,73.28,374.14,-47.51,35.25,CHARGING,0,10,False,46,52.495842,13.380290,0.0,full,EU
EV_REC_0047,VF8VNF_0001,0,47,2026-01-01T11:45:00,0.0,0,88.81,375.82,-36.84,36.98,CHARGING,0,10,False,47,52.499853,13.367233,0.0,full,EU
EV_REC_0048,VF8VNF_0001,0,48,2026-01-01T12:00:00,19.05,1039,70.91,375.52,38.68,33.68,DRIVING_PASSENGER,0,10,False,48,52.501465,13.348807,-0.305,full,EU
EV_REC_0049,VF8VNF_0001,0,49,2026-01-01T12:15:00,0.0,0,31.25,368.4,-0.28,39.97,IDLE,0,10,False,49,52.497512,13.370280,0.0,full,EU
EV_REC_0050,VF8VNF_0001,0,50,2026-01-01T12:30:00,13.42,978,68.27,373.52,22.26,30.58,DRIVING_PASSENGER,0,10,False,50,52.510463,13.337174,0.162,full,EU
EV_REC_0051,VF8VNF_0001,0,51,2026-01-01T12:45:00,4.52,629,66.32,374.41,12.94,35.0,DRIVING_PASSENGER,0,10,False,51,52.489341,13.394864,0.114,full,EU
EV_REC_0052,VF8VNF_0001,0,52,2026-01-01T13:00:00,0.0,0,31.11,372.32,-2.9,36.1,IDLE,0,10,False,52,52.499815,13.369127,0.0,full,EU
EV_REC_0053,VF8VNF_0001,0,53,2026-01-01T13:15:00,37.28,2720,64.98,372.68,27.88,36.26,DRIVING_PASSENGER,0,10,False,53,52.518993,13.396802,0.01,full,EU
EV_REC_0054,VF8VNF_0001,0,54,2026-01-01T13:30:00,0.0,0,63.9,375.41,-2.31,35.29,IDLE,0,10,False,54,52.501929,13.376836,0.0,full,EU
EV_REC_0055,VF8VNF_0001,0,55,2026-01-01T13:45:00,26.94,2001,63.45,376.56,31.67,29.6,DRIVING_PASSENGER,0,10,False,55,52.504728,13.374570,-0.026,full,EU
EV_REC_0056,VF8VNF_0001,0,56,2026-01-01T14:00:00,0.0,0,28.94,371.75,3.19,33.11,IDLE,0,10,False,56,52.505951,13.384983,0.0,full,EU
EV_REC_0057,VF8VNF_0001,0,57,2026-01-01T14:15:00,27.84,1772,61.71,373.19,34.25,29.89,DRIVING_PASSENGER,0,10,False,57,52.487903,13.450000,-0.617,full,EU
EV_REC_0058,VF8VNF_0001,0,58,2026-01-01T14:30:00,13.62,1063,59.1,371.59,21.29,37.24,DEADHEAD,0,10,False,58,52.517907,13.423144,0.246,full,EU
EV_REC_0059,VF8VNF_0001,0,59,2026-01-01T14:45:00,40.35,2860,60.33,373.28,40.65,31.97,DRIVING_PASSENGER,0,10,False,59,52.491581,13.392245,-0.35,full,EU
EV_REC_0060,VF8VNF_0001,0,60,2026-01-01T15:00:00,31.31,2509,57.41,371.94,1.82,32.9,DRIVING_PASSENGER,0,10,False,60,52.496683,13.371308,0.517,full,EU
EV_REC_0061,VF8VNF_0001,0,61,2026-01-01T15:15:00,0.0,0,55.97,377.1,0.84,25.18,IDLE,0,10,False,61,52.504182,13.384449,0.0,full,EU
EV_REC_0062,VF8VNF_0001,0,62,2026-01-01T15:30:00,18.92,1527,54.85,371.35,15.81,29.96,DRIVING_PASSENGER,0,10,False,62,52.487839,13.335619,0.125,full,EU
EV_REC_0063,VF8VNF_0001,0,63,2026-01-01T15:45:00,0.0,0,31.92,368.01,-0.63,36.74,IDLE,0,10,False,63,52.502539,13.374654,0.0,full,EU
EV_REC_0064,VF8VNF_0001,0,64,2026-01-01T16:00:00,12.97,1082,52.67,369.97,10.5,31.56,DRIVING_PASSENGER,0,10,False,64,52.499520,13.386657,0.025,full,EU
EV_REC_0065,VF8VNF_0001,0,65,2026-01-01T16:15:00,25.71,1984,51.13,371.84,38.42,29.81,DRIVING_PASSENGER,0,10,False,65,52.507727,13.353118,0.43,full,EU
EV_REC_0066,VF8VNF_0001,0,66,2026-01-01T16:30:00,0.0,0,51.31,373.78,0.81,25.76,IDLE,0,10,False,66,52.502049,13.378487,0.0,full,EU
EV_REC_0067,VF8VNF_0001,0,67,2026-01-01T16:45:00,45.41,3380,49.97,376.11,23.12,26.13,DRIVING_PASSENGER,0,10,False,67,52.506651,13.368920,-0.159,full,EU
EV_REC_0068,VF8VNF_0001,0,68,2026-01-01T17:00:00,12.54,564,50.94,376.39,0.0,33.46,DRIVING_PASSENGER,0,10,False,68,52.485967,13.384286,0.095,full,EU
EV_REC_0069,VF8VNF_0001,0,69,2026-01-01T17:15:00,22.27,1155,48.42,375.24,18.83,28.02,DEADHEAD,0,10,False,69,52.501705,13.397703,0.487,full,EU
EV_REC_0070,VF8VNF_0001,0,70,2026-01-01T17:30:00,11.92,1032,48.25,374.85,23.75,31.22,DRIVING_PASSENGER,0,10,False,70,52.487700,13.353809,0.097,full,EU
EV_REC_0071,VF8VNF_0001,0,71,2026-01-01T17:45:00,13.53,1038,47.83,373.32,0.0,36.66,DRIVING_PASSENGER,0,10,False,71,52.494440,13.420304,-0.3,full,EU
EV_REC_0072,VF8VNF_0001,0,72,2026-01-01T18:00:00,0.0,0,32.13,368.8,1.26,31.35,IDLE,0,10,False,72,52.506755,13.382468,0.0,full,EU
EV_REC_0073,VF8VNF_0001,0,73,2026-01-01T18:15:00,0.0,0,29.95,370.18,-0.64,35.14,IDLE,0,10,False,73,52.504978,13.372208,0.0,full,EU
EV_REC_0074,VF8VNF_0001,0,74,2026-01-01T18:30:00,0.0,0,30.2,367.44,2.05,25.99,IDLE,0,10,False,74,52.500691,13.369604,0.0,full,EU
EV_REC_0075,VF8VNF_0001,0,75,2026-01-01T18:45:00,0.0,0,28.95,372.64,2.05,34.54,IDLE,0,10,False,75,52.501983,13.366891,0.0,full,EU
EV_REC_0076,VF8VNF_0001,0,76,2026-01-01T19:00:00,0.0,0,31.35,369.45,-2.71,38.29,IDLE,0,10,False,76,52.500783,13.375436,0.0,full,EU
EV_REC_0077,VF8VNF_0001,0,77,2026-01-01T19:15:00,0.0,0,30.48,369.34,-0.29,20.23,IDLE,0,10,False,77,52.501281,13.376500,0.0,full,EU
EV_REC_0078,VF8VNF_0001,0,78,2026-01-01T19:30:00,0.0,0,30.71,370.61,1.23,32.09,IDLE,0,10,False,78,52.499063,13.367900,0.0,full,EU
EV_REC_0079,VF8VNF_0001,0,79,2026-01-01T19:45:00,0.0,0,30.85,368.28,2.44,29.21,IDLE,0,10,False,79,52.498031,13.379711,0.0,full,EU
EV_REC_0080,VF8VNF_0001,0,80,2026-01-01T20:00:00,0.0,0,32.59,375.95,-47.68,26.17,CHARGING,0,10,False,80,52.501087,13.370377,0.0,full,EU
EV_REC_0081,VF8VNF_0001,0,81,2026-01-01T20:15:00,0.0,0,33.76,369.27,-40.47,35.66,CHARGING,0,10,False,81,52.497560,13.369587,0.0,full,EU
EV_REC_0082,VF8VNF_0001,0,82,2026-01-01T20:30:00,0.0,0,37.17,374.75,-43.79,29.43,CHARGING,0,10,False,82,52.497055,13.369690,0.0,full,EU
EV_REC_0083,VF8VNF_0001,0,83,2026-01-01T20:45:00,0.0,0,40.47,373.82,-39.65,34.77,CHARGING,0,10,False,83,52.498057,13.373900,0.0,full,EU
EV_REC_0084,VF8VNF_0001,0,84,2026-01-01T21:00:00,0.0,0,41.46,372.85,-36.6,33.02,CHARGING,0,10,False,84,52.496351,13.372338,0.0,full,EU
EV_REC_0085,VF8VNF_0001,0,85,2026-01-01T21:15:00,0.0,0,45.53,370.84,-46.57,36.4,CHARGING,0,10,False,85,52.499691,13.368294,0.0,full,EU
EV_REC_0086,VF8VNF_0001,0,86,2026-01-01T21:30:00,0.0,0,45.67,372.89,-30.11,36.9,CHARGING,0,10,False,86,52.506202,13.374227,0.0,full,EU
EV_REC_0087,VF8VNF_0001,0,87,2026-01-01T21:45:00,0.0,0,49.5,371.96,-27.58,33.51,CHARGING,0,10,False,87,52.499124,13.378276,0.0,full,EU
EV_REC_0088,VF8VNF_0001,0,88,2026-01-01T22:00:00,0.0,0,49.97,373.01,-45.58,23.94,CHARGING,0,10,False,88,52.503762,13.381774,0.0,full,EU
EV_REC_0089,VF8VNF_0001,0,89,2026-01-01T22:15:00,0.0,0,53.79,377.78,-27.9,26.16,CHARGING,0,10,False,89,52.503330,13.375716,0.0,full,EU
EV_REC_0090,VF8VNF_0001,0,90,2026-01-01T22:30:00,0.0,0,56.24,377.12,-24.94,29.87,CHARGING,0,10,False,90,52.498041,13.377059,0.0,full,EU
EV_REC_0091,VF8VNF_0001,0,91,2026-01-01T22:45:00,0.0,0,58.39,373.42,-20.82,28.52,CHARGING,0,10,False,91,52.498933,13.375975,0.0,full,EU
EV_REC_0092,VF8VNF_0001,0,92,2026-01-01T23:00:00,0.0,0,59.99,374.41,-26.48,28.27,CHARGING,0,10,False,92,52.501319,13.368543,0.0,full,EU
EV_REC_0093,VF8VNF_0001,0,93,2026-01-01T23:15:00,0.0,0,62.39,377.34,-50.96,33.26,CHARGING,0,10,False,93,52.502841,13.379932,0.0,full,EU
EV_REC_0094,VF8VNF_0001,0,94,2026-01-01T23:30:00,0.0,0,66.82,373.15,-30.02,32.3,CHARGING,0,10,False,94,52.495232,13.382309,0.0,full,EU
EV_REC_0095,VF8VNF_0001,0,95,2026-01-01T23:45:00,0.0,0,67.58,373.84,-31.6,30.27,CHARGING,0,10,False,95,52.495765,13.364045,0.0,full,EU
EV_REC_0096,VF8VNF_0001,1,0,2026-01-02T00:00:00,0.0,0,80.35,381.37,-38.65,30.27,CHARGING,1,10,False,0,52.502347,13.379987,0.0,full,EU
EV_REC_0097,VF8VNF_0001,1,1,2026-01-02T00:15:00,0.0,0,82.93,379.64,-49.21,36.43,CHARGING,1,10,False,1,52.503167,13.375035,0.0,full,EU
EV_REC_0098,VF8VNF_0001,1,2,2026-01-02T00:30:00,0.0,0,85.24,380.62,-36.25,25.76,CHARGING,1,10,False,2,52.499779,13.375066,0.0,full,EU
EV_REC_0099,VF8VNF_0001,1,3,2026-01-02T00:45:00,0.0,0,87.21,376.66,-33.68,27.04,CHARGING,1,10,False,3,52.500037,13.374690,0.0,full,EU
EV_REC_0100,VF8VNF_0001,1,4,2026-01-02T01:00:00,0.0,0,86.97,377.31,-40.87,21.21,CHARGING,1,10,False,4,52.503589,13.381804,0.0,full,EU
EV_REC_0101,VF8VNF_0001,1,5,2026-01-02T01:15:00,0.0,0,90.52,380.4,-40.54,24.6,CHARGING,1,10,False,5,52.500513,13.373385,0.0,full,EU
EV_REC_0102,VF8VNF_0001,1,6,2026-01-02T01:30:00,0.0,0,91.69,378.57,-35.98,32.98,CHARGING,1,10,False,6,52.498331,13.378895,0.0,full,EU
EV_REC_0103,VF8VNF_0001,1,7,2026-01-02T01:45:00,0.0,0,93.89,384.13,-43.88,21.65,CHARGING,1,10,False,7,52.501681,13.365310,0.0,full,EU
EV_REC_0104,VF8VNF_0001,1,8,2026-01-02T02:00:00,0.0,0,95.46,381.78,-28.26,35.5,CHARGING,1,10,False,8,52.496417,13.376351,0.0,full,EU
EV_REC_0105,VF8VNF_0001,1,9,2026-01-02T02:15:00,0.0,0,96.19,378.34,-2.05,32.32,IDLE,1,10,False,9,52.497661,13.372323,0.0,full,EU
EV_REC_0106,VF8VNF_0001,1,10,2026-01-02T02:30:00,0.0,0,95.38,381.67,2.37,37.1,IDLE,1,10,False,10,52.501682,13.371199,0.0,full,EU
EV_REC_0107,VF8VNF_0001,1,11,2026-01-02T02:45:00,0.0,0,96.3,375.51,4.43,25.66,IDLE,1,10,False,11,52.506345,13.377040,0.0,full,EU
EV_REC_0108,VF8VNF_0001,1,12,2026-01-02T03:00:00,0.0,0,94.99,377.54,2.01,25.79,IDLE,1,10,False,12,52.498643,13.373990,0.0,full,EU
EV_REC_0109,VF8VNF_0001,1,13,2026-01-02T03:15:00,0.0,0,97.38,380.86,0.54,29.94,IDLE,1,10,False,13,52.502532,13.377209,0.0,full,EU
EV_REC_0110,VF8VNF_0001,1,14,2026-01-02T03:30:00,0.0,0,96.79,382.58,-1.62,38.26,IDLE,1,10,False,14,52.499757,13.375223,0.0,full,EU
EV_REC_0111,VF8VNF_0001,1,15,2026-01-02T03:45:00,0.0,0,95.82,378.85,-3.95,31.24,IDLE,1,10,False,15,52.497059,13.378187,0.0,full,EU
EV_REC_0112,VF8VNF_0001,1,16,2026-01-02T04:00:00,0.0,0,94.62,380.25,0.01,27.26,IDLE,1,10,False,16,52.498478,13.382213,0.0,full,EU
EV_REC_0113,VF8VNF_0001,1,17,2026-01-02T04:15:00,0.0,0,96.15,382.8,-1.43,36.62,IDLE,1,10,False,17,52.501507,13.379920,0.0,full,EU
EV_REC_0114,VF8VNF_0001,1,18,2026-01-02T04:30:00,0.0,0,96.62,381.1,-2.37,34.0,IDLE,1,10,False,18,52.505545,13.372939,0.0,full,EU
EV_REC_0115,VF8VNF_0001,1,19,2026-01-02T04:45:00,0.0,0,96.94,381.28,0.52,36.05,IDLE,1,10,False,19,52.500192,13.369765,0.0,full,EU
EV_REC_0116,VF8VNF_0001,1,20,2026-01-02T05:00:00,0.0,0,98.08,379.78,-0.88,28.39,IDLE,1,10,False,20,52.501893,13.381192,0.0,full,EU
EV_REC_0117,VF8VNF_0001,1,21,2026-01-02T05:15:00,0.0,0,95.56,380.49,1.74,27.33,IDLE,1,10,False,21,52.502241,13.382789,0.0,full,EU
EV_REC_0118,VF8VNF_0001,1,22,2026-01-02T05:30:00,0.0,0,97.12,382.74,-2.16,28.75,IDLE,1,10,False,22,52.502084,13.372421,0.0,full,EU
EV_REC_0119,VF8VNF_0001,1,23,2026-01-02T05:45:00,0.0,0,97.25,383.35,-1.21,32.08,IDLE,1,10,False,23,52.494933,13.358429,0.0,full,EU
EV_REC_0120,VF8VNF_0001,1,24,2026-01-02T06:00:00,16.16,1367,94.41,381.2,29.24,32.82,DEADHEAD,1,10,False,24,52.493370,13.360694,0.143,full,EU
EV_REC_0121,VF8VNF_0001,1,25,2026-01-02T06:15:00,20.05,1527,96.57,379.28,17.38,23.59,DRIVING_PASSENGER,1,10,False,25,52.488872,13.376851,0.075,full,EU
EV_REC_0122,VF8VNF_0001,1,26,2026-01-02T06:30:00,38.29,3354,95.73,379.99,27.02,32.07,DRIVING_PASSENGER,1,10,False,26,52.527569,13.342106,0.036,full,EU
EV_REC_0123,VF8VNF_0001,1,27,2026-01-02T06:45:00,38.36,3074,92.55,379.89,23.86,30.86,DRIVING_PASSENGER,1,10,False,27,52.496141,13.375270,0.216,full,EU
EV_REC_0124,VF8VNF_0001,1,28,2026-01-02T07:00:00,17.49,1335,92.84,376.98,26.68,29.05,DRIVING_PASSENGER,1,10,False,28,52.486974,13.345804,-0.115,full,EU
EV_REC_0125,VF8VNF_0001,1,29,2026-01-02T07:15:00,15.97,932,90.48,378.71,27.53,31.42,DRIVING_PASSENGER,1,10,False,29,52.523584,13.378976,0.557,full,EU
EV_REC_0126,VF8VNF_0001,1,30,2026-01-02T07:30:00,0.0,0,36.42,370.98,0.75,35.92,IDLE,1,10,False,30,52.502688,13.373877,0.0,full,EU
EV_REC_0127,VF8VNF_0001,1,31,2026-01-02T07:45:00,18.32,1485,91.03,375.55,16.51,37.48,DRIVING_PASSENGER,1,10,False,31,52.487381,13.346575,0.44,full,EU
EV_REC_0128,VF8VNF_0001,1,32,2026-01-02T08:00:00,34.31,2510,90.0,377.89,9.09,27.77,DRIVING_PASSENGER,1,10,False,32,52.479897,13.377084,0.458,full,EU
EV_REC_0129,VF8VNF_0001,1,33,2026-01-02T08:15:00,20.28,1643,87.37,379.57,30.73,29.3,DRIVING_PASSENGER,1,10,False,33,52.499118,13.374986,0.32,full,EU
EV_REC_0130,VF8VNF_0001,1,34,2026-01-02T08:30:00,18.25,1697,85.83,377.36,27.36,24.63,DEADHEAD,1,10,False,34,52.498152,13.397421,-0.102,full,EU
EV_REC_0131,VF8VNF_0001,1,35,2026-01-02T08:45:00,0.0,0,86.6,378.3,1.96,39.18,IDLE,1,10,False,35,52.494908,13.379017,0.0,full,EU
EV_REC_0132,VF8VNF_0001,1,36,2026-01-02T09:00:00,22.31,1424,85.12,374.57,13.61,35.4,DRIVING_PASSENGER,1,10,False,36,52.523003,13.392044,0.351,full,EU
EV_REC_0133,VF8VNF_0001,1,37,2026-01-02T09:15:00,18.29,1307,81.94,377.57,5.37,33.61,DRIVING_PASSENGER,1,10,False,37,52.480913,13.365118,0.631,full,EU
EV_REC_0134,VF8VNF_0001,1,38,2026-01-02T09:30:00,0.0,0,84.37,377.29,-1.59,29.35,IDLE,1,10,False,38,52.492424,13.368634,0.0,full,EU
EV_REC_0135,VF8VNF_0001,1,39,2026-01-02T09:45:00,0.0,0,38.45,371.57,2.38,30.52,IDLE,1,10,False,39,52.497523,13.382838,0.0,full,EU
EV_REC_0136,VF8VNF_0001,1,40,2026-01-02T10:00:00,0.0,0,38.66,373.44,-4.13,28.77,IDLE,1,10,False,40,52.498207,13.378798,0.0,full,EU
EV_REC_0137,VF8VNF_0001,1,41,2026-01-02T10:15:00,0.0,0,38.82,376.77,-2.49,35.92,IDLE,1,10,False,41,52.501806,13.373577,0.0,full,EU
EV_REC_0138,VF8VNF_0001,1,42,2026-01-02T10:30:00,0.0,0,37.33,371.0,0.88,45.0,IDLE,1,10,False,42,52.499635,13.381661,0.0,full,EU
EV_REC_0139,VF8VNF_0001,1,43,2026-01-02T10:45:00,0.0,0,39.44,370.75,1.82,37.63,IDLE,1,10,False,43,52.504277,13.381172,0.0,full,EU
EV_REC_0140,VF8VNF_0001,1,44,2026-01-02T11:00:00,0.0,0,37.46,373.41,-5.73,43.37,IDLE,1,10,False,44,52.501488,13.377611,0.0,full,EU
EV_REC_0141,VF8VNF_0001,1,45,2026-01-02T11:15:00,0.0,0,37.54,370.26,1.73,30.23,IDLE,1,10,False,45,52.498421,13.377739,0.0,full,EU
EV_REC_0142,VF8VNF_0001,1,46,2026-01-02T11:30:00,0.0,0,37.2,369.89,0.47,30.36,IDLE,1,10,False,46,52.490760,13.378831,0.0,full,EU
EV_REC_0143,VF8VNF_0001,1,47,2026-01-02T11:45:00,0.0,0,39.24,373.78,-0.65,37.27,IDLE,1,10,False,47,52.498458,13.361555,0.0,full,EU
EV_REC_0144,VF8VNF_0001,1,48,2026-01-02T12:00:00,0.0,0,37.62,371.27,2.45,36.73,IDLE,1,10,False,48,52.504543,13.393592,0.0,full,EU
EV_REC_0145,VF8VNF_0001,1,49,2026-01-02T12:15:00,0.0,0,37.36,368.11,3.01,24.36,IDLE,1,10,False,49,52.500949,13.373101,0.0,full,EU
EV_REC_0146,VF8VNF_0001,1,50,2026-01-02T12:30:00,0.0,0,37.95,368.51,-1.32,39.82,IDLE,1,10,False,50,52.498715,13.371253,0.0,full,EU
