request_id,request_type,requester_user_id,target_user_id,requested_dataset,requested_privilege,business_purpose,contains_sensitive_data,created_at,requested_until,status
ARQ_00065,GRANT,USR_0024,USR_0024,control_results,EXPORT,Hỗ trợ khách hàng,false,2026-01-04T21:41:00,2027-01-04,APPROVED
ARQ_00066,REVOKE,USR_0042,USR_0042,finance_reconciliation,ADMIN,Phân tích chất lượng dịch vụ,true,2026-01-15T11:38:26,2026-04-15,APPROVED
ARQ_00067,CHANGE,USR_0040,USR_0040,finance_reconciliation,ADMIN,Phân tích chất lượng dịch vụ,true,2026-01-07T09:50:43,2026-04-07,APPROVED
ARQ_00068,GRANT,USR_0059,USR_0059,drivers,EXPORT,Hỗ trợ khách hàng,true,2026-01-07T04:45:43,2026-04-07,REJECTED
ARQ_00069,REVOKE,USR_0032,USR_0032,customers,EXPORT,Hỗ trợ khách hàng,true,2026-01-08T16:50:56,2027-01-08,APPROVED
ARQ_00070,CHANGE,USR_0030,USR_0015,trips,EXPORT,Phân tích chất lượng dịch vụ,false,2026-01-10T06:31:57,2026-02-09,APPROVED
ARQ_00071,REVOKE,USR_0023,USR_0023,finance_reconciliation,UPDATE,Điều tra sự cố,true,2026-01-06T03:11:49,2027-01-06,APPROVED
ARQ_00072,REVOKE,USR_0045,USR_0004,db_audit_events,ADMIN,Điều tra sự cố,false,2026-01-08T21:00:17,2026-07-07,APPROVED
ARQ_00073,REVOKE,USR_0024,USR_0028,trips,SELECT,Phân tích chất lượng dịch vụ,false,2026-01-07T17:50:41,2026-07-06,APPROVED
ARQ_00074,GRANT,USR_0025,USR_0025,db_audit_events,UPDATE,Hỗ trợ khách hàng,false,2026-01-06T13:00:09,2026-04-06,APPROVED
ARQ_00075,CHANGE,USR_0053,USR_0020,control_results,ADMIN,Hỗ trợ khách hàng,false,2026-01-12T12:28:30,2027-01-12,PENDING
ARQ_00076,GRANT,USR_0028,USR_0028,drivers,ADMIN,Hỗ trợ khách hàng,true,2026-01-12T11:04:59,2027-01-12,APPROVED
ARQ_00077,CHANGE,USR_0040,USR_0040,trips,ADMIN,Đối soát vận hành,false,2026-01-12T00:49:20,2027-01-12,APPROVED
ARQ_00078,REVOKE,USR_0031,USR_0056,trips,UPDATE,Bảo trì pipeline,false,2026-01-07T11:22:54,2026-02-06,APPROVED
ARQ_00079,CHANGE,USR_0048,USR_0048,drivers,SELECT,Phân tích chất lượng dịch vụ,true,2026-01-04T05:39:53,2026-02-03,REJECTED
ARQ_00080,GRANT,USR_0016,USR_0010,trips,UPDATE,Hỗ trợ khách hàng,false,2026-01-12T08:08:29,2027-01-12,PENDING
