change_request_id,rfc_code,title,change_type,requester_user_id,created_at,risk_level,rollback_plan_present,status
RFC_00049,RFC-2026-0049,Add DB index,STANDARD,USR_0023,2026-01-04T18:01:29,HIGH,false,DEPLOYED
RFC_00050,RFC-2026-0050,Deploy dashboard change,EMERGENCY,USR_0017,2026-01-04T14:57:23,LOW,true,CLOSED
RFC_00051,RFC-2026-0051,Adjust PII masking policy,MAJOR,USR_0004,2026-01-14T04:43:07,MEDIUM,true,CLOSED
RFC_00052,RFC-2026-0052,Update trip validation rule,MAJOR,USR_0002,2026-01-14T12:32:04,MEDIUM,true,CLOSED
RFC_00053,RFC-2026-0053,Update Airflow DAG,MAJOR,USR_0001,2026-01-03T09:04:48,MEDIUM,true,DEPLOYED
RFC_00054,RFC-2026-0054,Deploy dashboard change,MAJOR,USR_0038,2026-01-01T18:51:27,HIGH,true,APPROVED
RFC_00055,RFC-2026-0055,Deploy dashboard change,EMERGENCY,USR_0059,2026-01-11T12:32:46,LOW,true,CLOSED
RFC_00056,RFC-2026-0056,Update trip validation rule,MAJOR,USR_0014,2026-01-14T13:55:10,LOW,true,DEPLOYED
RFC_00057,RFC-2026-0057,Adjust PII masking policy,MAJOR,USR_0056,2026-01-11T03:22:25,MEDIUM,true,APPROVED
RFC_00058,RFC-2026-0058,Deploy dashboard change,MAJOR,USR_0054,2026-01-12T18:42:56,LOW,true,CLOSED
RFC_00059,RFC-2026-0059,Update Airflow DAG,EMERGENCY,USR_0040,2026-01-11T22:11:33,MEDIUM,true,CLOSED
RFC_00060,RFC-2026-0060,Add DB index,STANDARD,USR_0033,2026-01-15T09:44:46,MEDIUM,true,APPROVED
