export_id,timestamp,source_event_id,actor_user_id,dataset,trip_id,record_count,contains_sensitive_data,masking_applied,legal_basis,approval_request_id,destination,retention_days
EXP_00034,2026-01-13T15:39:22,DBE_001166,USR_0005,customers,XANH_TRIP_4406,521,true,true,CONTRACT,ARQ_00030,LOCAL_DOWNLOAD,30
EXP_00035,2026-01-10T14:16:16,DBE_000235,USR_0051,trips,XANH_TRIP_8258,17729,true,true,LEGITIMATE_INTEREST,ARQ_00065,EXTERNAL_PARTNER,90
EXP_00036,2026-01-03T19:30:26,DBE_000771,USR_0059,drivers,,11153,true,false,LEGITIMATE_INTEREST,,SECURE_SHARE,90
EXP_00037,2026-01-01T22:31:30,DBE_000321,USR_0013,finance_reconciliation,XANH_TRIP_3027,13386,false,true,,ARQ_00045,SECURE_SHARE,30
EXP_00038,2026-01-04T02:53:37,DBE_000479,USR_0036,drivers,XANH_TRIP_7862,11823,false,true,,ARQ_00073,LOCAL_DOWNLOAD,7
EXP_00039,2026-01-02T03:30:42,DBE_000606,USR_0008,drivers,,966,true,false,LEGITIMATE_INTEREST,ARQ_00048,INTERNAL_S3,7
EXP_00040,2026-01-02T07:00:57,DBE_000229,USR_0004,customers,XANH_TRIP_2512,119,true,false,LEGAL_OBLIGATION,ARQ_00045,SECURE_SHARE,90
EXP_00041,2026-01-01T14:43:11,DBE_001079,USR_0055,finance_reconciliation,,5695,false,true,,ARQ_00018,SECURE_SHARE,30
EXP_00042,2026-01-10T09:58:22,DBE_000571,USR_0016,drivers,XANH_TRIP_9809,11774,false,true,,ARQ_00044,EXTERNAL_PARTNER,30
EXP_00043,2026-01-13T11:57:12,DBE_000106,USR_0035,finance_reconciliation,XANH_TRIP_10117,9328,true,true,LEGITIMATE_INTEREST,ARQ_00047,INTERNAL_S3,30
EXP_00044,2026-01-11T06:45:27,DBE_000611,USR_0024,customers,XANH_TRIP_1218,1954,true,true,,ARQ_00041,LOCAL_DOWNLOAD,365
EXP_00045,2026-01-09T05:23:29,DBE_000147,USR_0040,trips,XANH_TRIP_0997,11270,true,false,LEGAL_OBLIGATION,ARQ_00016,LOCAL_DOWNLOAD,90
EXP_00046,2026-01-10T06:35:53,DBE_000027,USR_0021,finance_reconciliation,XANH_TRIP_3356,16470,true,true,LEGITIMATE_INTEREST,ARQ_00002,INTERNAL_S3,30
EXP_00047,2026-01-13T22:46:20,DBE_000152,USR_0039,trips,,15196,true,true,LEGITIMATE_INTEREST,ARQ_00028,EXTERNAL_PARTNER,30
EXP_00048,2026-01-04T15:47:43,DBE_001129,USR_0006,drivers,XANH_TRIP_3217,19323,true,true,CONTRACT,ARQ_00032,INTERNAL_S3,365
EXP_00049,2026-01-15T15:24:46,DBE_000339,USR_0045,customers,XANH_TRIP_5206,3847,true,true,,ARQ_00006,INTERNAL_S3,7
EXP_00050,2026-01-01T15:08:53,DBE_001098,USR_0054,finance_reconciliation,,6672,false,true,,ARQ_00013,LOCAL_DOWNLOAD,30
EXP_00051,2026-01-11T08:42:14,DBE_000449,USR_0011,drivers,XANH_TRIP_8886,16919,false,true,,,SECURE_SHARE,7
EXP_00052,2026-01-04T04:56:50,DBE_000898,USR_0024,drivers,XANH_TRIP_3124,6770,false,true,,ARQ_00046,LOCAL_DOWNLOAD,90
EXP_00053,2026-01-12T12:23:40,DBE_000576,USR_0002,trips,,10607,false,true,,ARQ_00019,EXTERNAL_PARTNER,30
EXP_00054,2026-01-09T05:23:29,DBE_000147,USR_0040,finance_reconciliation,XANH_TRIP_0997,7833,false,true,,,INTERNAL_S3,7
EXP_00055,2026-01-03T11:25:18,DBE_000265,USR_0007,drivers,,17239,true,true,CONTRACT,ARQ_00015,INTERNAL_S3,7
EXP_00056,2026-01-09T06:09:25,DBE_000691,USR_0052,customers,XANH_TRIP_4652,16905,false,true,,,EXTERNAL_PARTNER,365
EXP_00057,2026-01-07T14:10:06,DBE_001057,USR_0014,finance_reconciliation,XANH_TRIP_2585,11417,true,false,,ARQ_00016,EXTERNAL_PARTNER,7
EXP_00058,2026-01-05T07:49:30,DBE_000918,USR_0017,drivers,XANH_TRIP_1621,1584,true,true,LEGITIMATE_INTEREST,ARQ_00009,SECURE_SHARE,90
EXP_00059,2026-01-05T02:59:06,DBE_000092,USR_0001,finance_reconciliation,XANH_TRIP_6645,2774,true,true,CONTRACT,ARQ_00023,SECURE_SHARE,365
EXP_00060,2026-01-10T23:00:39,DBE_000783,USR_0025,customers,,4064,true,true,,ARQ_00061,EXTERNAL_PARTNER,7
EXP_00061,2026-01-09T18:15:13,DBE_001022,USR_0042,trips,,17726,true,true,LEGAL_OBLIGATION,ARQ_00055,LOCAL_DOWNLOAD,365
EXP_00062,2026-01-08T17:17:44,DBE_000711,USR_0053,customers,,305,true,true,CONTRACT,ARQ_00037,LOCAL_DOWNLOAD,90
EXP_00063,2026-01-06T21:25:54,DBE_000376,USR_0020,customers,XANH_TRIP_6593,7300,false,true,,ARQ_00033,INTERNAL_S3,365
EXP_00064,2026-01-05T07:49:30,DBE_000918,USR_0017,trips,XANH_TRIP_1621,17983,true,false,LEGITIMATE_INTEREST,ARQ_00015,LOCAL_DOWNLOAD,30
EXP_00065,2026-01-12T07:18:22,DBE_000312,USR_0038,trips,XANH_TRIP_8649,13036,false,true,,ARQ_00022,SECURE_SHARE,30
EXP_00066,2026-01-02T12:10:25,DBE_000602,USR_0047,finance_reconciliation,XANH_TRIP_4229,299,false,true,,ARQ_00015,EXTERNAL_PARTNER,365
EXP_00067,2026-01-06T07:42:51,DBE_000281,USR_0033,trips,XANH_TRIP_0751,2733,false,true,,ARQ_00018,INTERNAL_S3,365
EXP_00068,2026-01-05T02:59:06,DBE_000092,USR_0001,finance_reconciliation,XANH_TRIP_6645,17628,true,true,LEGAL_OBLIGATION,ARQ_00036,INTERNAL_S3,30
EXP_00069,2026-01-10T14:36:25,DBE_000853,USR_0056,trips,XANH_TRIP_2750,5890,false,true,,ARQ_00002,INTERNAL_S3,7
EXP_00070,2026-01-13T20:57:52,DBE_000192,USR_0037,trips,,14347,true,true,LEGITIMATE_INTEREST,ARQ_00020,LOCAL_DOWNLOAD,365
EXP_00071,2026-01-15T10:55:18,DBE_001188,USR_0020,trips,,18478,true,true,LEGAL_OBLIGATION,ARQ_00039,EXTERNAL_PARTNER,90
EXP_00072,2026-01-12T01:31:05,DBE_000931,USR_0048,trips,XANH_TRIP_1761,676,true,true,LEGAL_OBLIGATION,ARQ_00069,LOCAL_DOWNLOAD,7
EXP_00073,2026-01-09T16:32:46,DBE_000367,USR_0036,finance_reconciliation,XANH_TRIP_5235,14735,true,true,LEGITIMATE_INTEREST,ARQ_00045,EXTERNAL_PARTNER,365
EXP_00074,2026-01-14T14:40:09,DBE_000009,USR_0005,trips,XANH_TRIP_6241,4623,true,true,LEGITIMATE_INTEREST,ARQ_00073,LOCAL_DOWNLOAD,90
EXP_00075,2026-01-03T00:09:18,DBE_000297,USR_0056,trips,XANH_TRIP_2945,3990,true,true,CONTRACT,ARQ_00040,EXTERNAL_PARTNER,90
EXP_00076,2026-01-01T12:17:26,DBE_000270,USR_0052,trips,XANH_TRIP_5686,7404,true,true,LEGAL_OBLIGATION,ARQ_00070,EXTERNAL_PARTNER,7
EXP_00077,2026-01-04T18:52:38,DBE_000546,USR_0048,trips,,7229,false,true,,,SECURE_SHARE,7
EXP_00078,2026-01-06T19:06:27,DBE_000630,USR_0012,finance_reconciliation,XANH_TRIP_1143,13221,false,true,,ARQ_00034,INTERNAL_S3,7
EXP_00079,2026-01-09T16:32:46,DBE_000367,USR_0036,customers,XANH_TRIP_5235,5853,true,true,CONTRACT,ARQ_00025,EXTERNAL_PARTNER,30
EXP_00080,2026-01-14T05:42:20,DBE_000433,USR_0025,trips,,7400,false,true,,,EXTERNAL_PARTNER,30
EXP_00081,2026-01-10T14:16:16,DBE_000235,USR_0051,customers,XANH_TRIP_8258,12572,true,true,CONTRACT,ARQ_00056,INTERNAL_S3,7
EXP_00082,2026-01-12T07:07:29,DBE_000947,USR_0012,drivers,XANH_TRIP_4064,15091,true,false,CONTRACT,ARQ_00058,INTERNAL_S3,30
EXP_00083,2026-01-10T02:04:50,DBE_000737,USR_0032,finance_reconciliation,,14023,false,true,,ARQ_00015,EXTERNAL_PARTNER,7
EXP_00084,2026-01-10T14:16:16,DBE_000235,USR_0051,customers,XANH_TRIP_8258,9376,false,true,,ARQ_00057,SECURE_SHARE,90
EXP_00085,2026-01-08T21:34:58,DBE_000197,USR_0029,finance_reconciliation,,1362,false,true,,ARQ_00023,EXTERNAL_PARTNER,365
EXP_00086,2026-01-14T07:40:00,DBE_000952,USR_0060,customers,XANH_TRIP_9663,16177,true,true,LEGITIMATE_INTEREST,ARQ_00062,INTERNAL_S3,30
EXP_00087,2026-01-04T21:58:48,DBE_000820,USR_0043,trips,,17041,false,true,,ARQ_00048,SECURE_SHARE,30
EXP_00088,2026-01-15T10:32:04,DBE_000279,USR_0003,finance_reconciliation,XANH_TRIP_2515,19744,true,true,LEGAL_OBLIGATION,ARQ_00062,EXTERNAL_PARTNER,30
EXP_00089,2026-01-11T03:22:54,DBE_000886,USR_0039,trips,,18336,true,false,LEGAL_OBLIGATION,ARQ_00033,LOCAL_DOWNLOAD,30
EXP_00090,2026-01-02T08:56:28,DBE_000603,USR_0040,trips,,2816,true,true,CONTRACT,ARQ_00075,EXTERNAL_PARTNER,90
EXP_00091,2026-01-14T13:20:52,DBE_000208,USR_0029,finance_reconciliation,XANH_TRIP_2325,15150,false,true,,ARQ_00029,EXTERNAL_PARTNER,7
EXP_00092,2026-01-11T05:15:27,DBE_000245,USR_0038,customers,XANH_TRIP_1168,19650,true,false,CONTRACT,ARQ_00029,LOCAL_DOWNLOAD,365
EXP_00093,2026-01-12T17:54:02,DBE_000500,USR_0028,finance_reconciliation,XANH_TRIP_7698,6860,true,true,LEGAL_OBLIGATION,ARQ_00040,INTERNAL_S3,365
EXP_00094,2026-01-02T11:56:46,DBE_000129,USR_0026,trips,XANH_TRIP_3213,17977,true,true,,ARQ_00009,INTERNAL_S3,90
EXP_00095,2026-01-09T13:07:03,DBE_000485,USR_0032,drivers,XANH_TRIP_5583,17720,true,true,LEGITIMATE_INTEREST,ARQ_00003,INTERNAL_S3,30
EXP_00096,2026-01-12T05:17:56,DBE_000319,USR_0008,finance_reconciliation,,3029,false,true,,ARQ_00002,LOCAL_DOWNLOAD,7
EXP_00097,2026-01-07T12:05:15,DBE_000940,USR_0026,customers,,8400,false,true,,ARQ_00070,EXTERNAL_PARTNER,90
EXP_00098,2026-01-10T23:15:44,DBE_000427,USR_0040,drivers,XANH_TRIP_7754,5246,false,true,,,INTERNAL_S3,30
EXP_00099,2026-01-07T05:38:03,DBE_000876,USR_0041,trips,XANH_TRIP_5277,19424,false,true,,ARQ_00033,INTERNAL_S3,30
EXP_00100,2026-01-05T23:40:59,DBE_000096,USR_0014,trips,XANH_TRIP_0402,5768,true,true,CONTRACT,ARQ_00077,LOCAL_DOWNLOAD,7
EXP_00101,2026-01-03T21:48:13,DBE_000216,USR_0021,customers,XANH_TRIP_8832,16237,false,true,,ARQ_00042,LOCAL_DOWNLOAD,7
EXP_00102,2026-01-14T21:16:45,DBE_000676,USR_0002,finance_reconciliation,XANH_TRIP_4217,8804,false,true,,ARQ_00047,EXTERNAL_PARTNER,30
EXP_00103,2026-01-13T14:25:28,DBE_000925,USR_0039,finance_reconciliation,XANH_TRIP_4506,4622,false,true,,,EXTERNAL_PARTNER,90
EXP_00104,2026-01-07T21:18:06,DBE_000108,USR_0029,customers,XANH_TRIP_4561,124,false,true,,ARQ_00064,INTERNAL_S3,365
EXP_00105,2026-01-14T12:04:55,DBE_000757,USR_0040,trips,XANH_TRIP_6446,7575,true,true,,ARQ_00033,SECURE_SHARE,90
EXP_00106,2026-01-12T11:15:17,DBE_000289,USR_0011,trips,XANH_TRIP_8745,3598,true,true,LEGITIMATE_INTEREST,,INTERNAL_S3,90
EXP_00107,2026-01-02T03:24:23,DBE_000548,USR_0021,trips,,6455,true,true,LEGITIMATE_INTEREST,,EXTERNAL_PARTNER,30
EXP_00108,2026-01-13T07:11:10,DBE_000900,USR_0038,trips,XANH_TRIP_0583,9784,true,true,CONTRACT,ARQ_00018,SECURE_SHARE,7
EXP_00109,2026-01-09T16:32:46,DBE_000367,USR_0036,finance_reconciliation,XANH_TRIP_5235,17230,true,true,CONTRACT,ARQ_00058,LOCAL_DOWNLOAD,7
EXP_00110,2026-01-09T11:02:45,DBE_000660,USR_0025,finance_reconciliation,,17625,false,true,,ARQ_00004,EXTERNAL_PARTNER,7
EXP_00111,2026-01-14T20:28:45,DBE_000942,USR_0023,drivers,XANH_TRIP_4911,11527,true,false,LEGITIMATE_INTEREST,,LOCAL_DOWNLOAD,30
EXP_00112,2026-01-10T12:22:58,DBE_000004,USR_0012,drivers,XANH_TRIP_3252,419,true,true,LEGAL_OBLIGATION,ARQ_00077,SECURE_SHARE,365
EXP_00113,2026-01-06T21:32:14,DBE_001196,USR_0052,drivers,XANH_TRIP_10132,6939,true,true,LEGITIMATE_INTEREST,ARQ_00027,LOCAL_DOWNLOAD,365
EXP_00114,2026-01-04T15:29:29,DBE_000016,USR_0008,finance_reconciliation,,17160,true,true,CONTRACT,ARQ_00072,INTERNAL_S3,7
EXP_00115,2026-01-11T03:05:11,DBE_001152,USR_0052,drivers,,19341,false,true,,ARQ_00060,LOCAL_DOWNLOAD,30
EXP_00116,2026-01-06T01:33:33,DBE_000767,USR_0043,trips,XANH_TRIP_2305,12117,true,true,CONTRACT,ARQ_00051,LOCAL_DOWNLOAD,90
EXP_00117,2026-01-08T23:27:25,DBE_000291,USR_0011,finance_reconciliation,,15934,false,true,,ARQ_00031,SECURE_SHARE,30
EXP_00118,2026-01-01T15:08:53,DBE_001098,USR_0054,finance_reconciliation,,5927,false,true,,ARQ_00045,LOCAL_DOWNLOAD,30
EXP_00119,2026-01-09T08:10:25,DBE_000934,USR_0051,finance_reconciliation,XANH_TRIP_3166,17525,true,true,CONTRACT,ARQ_00059,EXTERNAL_PARTNER,365
EXP_00120,2026-01-06T10:23:05,DBE_000599,USR_0003,drivers,XANH_TRIP_2921,10802,true,false,LEGAL_OBLIGATION,ARQ_00008,EXTERNAL_PARTNER,7
