run_id,dag_id,started_at,finished_at,status,source_system,input_records,silver_records,quarantine_records,rule_pass_count,rule_fail_count
RUN_000018,evidence_collect,2026-01-01T07:12:56,2026-01-01T07:37:56,SUCCESS,AIRFLOW_DEMO,1039,1039,0,10,1
RUN_000019,dq_trips,2026-01-14T23:54:28,2026-01-15T00:00:28,SUCCESS,AIRFLOW_DEMO,1897,1897,0,11,2
RUN_000020,privacy_transform,2026-01-11T20:39:09,2026-01-11T20:42:09,SUCCESS,AIRFLOW_DEMO,1630,1630,0,10,2
RUN_000021,ingest_trips,2026-01-13T19:14:44,2026-01-13T19:43:44,SUCCESS,AIRFLOW_DEMO,570,570,0,9,0
RUN_000022,ingest_trips,2026-01-06T02:07:02,2026-01-06T02:47:02,SUCCESS,AIRFLOW_DEMO,1141,1141,0,12,2
RUN_000023,ingest_trips,2026-01-10T20:24:14,2026-01-10T20:31:14,SUCCESS,AIRFLOW_DEMO,1472,1472,0,9,0
RUN_000024,evidence_collect,2026-01-04T05:09:19,2026-01-04T05:29:19,FAILED,AIRFLOW_DEMO,1729,1607,122,3,3
RUN_000025,evidence_collect,2026-01-12T08:00:22,2026-01-12T08:03:22,SUCCESS,AIRFLOW_DEMO,1197,1197,0,9,2
RUN_000026,dq_trips,2026-01-07T09:22:13,2026-01-07T09:32:13,SUCCESS,AIRFLOW_DEMO,1371,1371,0,10,2
RUN_000027,ingest_trips,2026-01-13T01:05:00,2026-01-13T01:29:00,SUCCESS,AIRFLOW_DEMO,945,945,0,10,2
RUN_000028,dq_trips,2026-01-14T05:16:40,2026-01-14T05:18:40,SUCCESS,AIRFLOW_DEMO,908,908,0,6,2
RUN_000029,dq_trips,2026-01-14T06:48:19,2026-01-14T07:11:19,SUCCESS,AIRFLOW_DEMO,1196,1196,0,10,0
RUN_000030,evidence_collect,2026-01-12T06:44:34,2026-01-12T07:11:34,SUCCESS,AIRFLOW_DEMO,522,522,0,10,1
RUN_000031,evidence_collect,2026-01-11T17:40:20,2026-01-11T18:20:20,PARTIAL,AIRFLOW_DEMO,512,486,26,6,2
RUN_000032,privacy_transform,2026-01-14T08:03:25,2026-01-14T08:22:25,SUCCESS,AIRFLOW_DEMO,1483,1483,0,12,2
RUN_000033,evidence_collect,2026-01-07T19:02:59,2026-01-07T19:21:59,SUCCESS,AIRFLOW_DEMO,1193,1193,0,12,2
RUN_000034,privacy_transform,2026-01-02T17:56:29,2026-01-02T18:12:29,FAILED,AIRFLOW_DEMO,902,850,52,5,7
RUN_000035,ingest_trips,2026-01-02T05:19:58,2026-01-02T05:47:58,SUCCESS,AIRFLOW_DEMO,1599,1599,0,10,2
RUN_000036,dq_trips,2026-01-05T15:08:47,2026-01-05T15:39:47,SUCCESS,AIRFLOW_DEMO,530,530,0,6,2
RUN_000037,privacy_transform,2026-01-13T09:33:44,2026-01-13T10:09:44,SUCCESS,AIRFLOW_DEMO,827,827,0,9,2
RUN_000038,privacy_transform,2026-01-04T00:10:17,2026-01-04T00:27:17,PARTIAL,AIRFLOW_DEMO,886,861,25,12,5
RUN_000039,ingest_trips,2026-01-15T04:26:31,2026-01-15T04:38:31,SUCCESS,AIRFLOW_DEMO,780,780,0,12,0
RUN_000040,privacy_transform,2026-01-10T14:34:16,2026-01-10T15:01:16,PARTIAL,AIRFLOW_DEMO,985,952,33,12,3
RUN_000041,ingest_trips,2026-01-03T00:47:32,2026-01-03T00:50:32,SUCCESS,AIRFLOW_DEMO,980,980,0,8,1
RUN_000042,privacy_transform,2026-01-02T03:48:27,2026-01-02T04:18:27,SUCCESS,AIRFLOW_DEMO,1546,1546,0,7,2
RUN_000043,dq_trips,2026-01-07T18:17:39,2026-01-07T18:34:39,SUCCESS,AIRFLOW_DEMO,705,705,0,9,0
RUN_000044,privacy_transform,2026-01-09T09:52:49,2026-01-09T10:17:49,SUCCESS,AIRFLOW_DEMO,1078,1078,0,6,2
RUN_000045,dq_trips,2026-01-03T19:47:41,2026-01-03T20:18:41,FAILED,AIRFLOW_DEMO,1397,1328,69,5,5
RUN_000046,evidence_collect,2026-01-10T11:15:35,2026-01-10T11:26:35,FAILED,AIRFLOW_DEMO,1427,1357,70,1,7
RUN_000047,dq_trips,2026-01-11T00:20:54,2026-01-11T00:37:54,SUCCESS,AIRFLOW_DEMO,824,824,0,7,1
RUN_000048,evidence_collect,2026-01-09T19:53:12,2026-01-09T20:30:12,SUCCESS,AIRFLOW_DEMO,1326,1326,0,9,1
RUN_000049,privacy_transform,2026-01-09T03:22:54,2026-01-09T04:01:54,SUCCESS,AIRFLOW_DEMO,1528,1528,0,7,2
RUN_000050,ingest_trips,2026-01-08T13:12:23,2026-01-08T13:41:23,SUCCESS,AIRFLOW_DEMO,1748,1748,0,6,1
RUN_000051,ingest_trips,2026-01-05T20:54:12,2026-01-05T21:24:12,SUCCESS,AIRFLOW_DEMO,764,764,0,6,0
RUN_000052,privacy_transform,2026-01-08T15:23:30,2026-01-08T15:54:30,SUCCESS,AIRFLOW_DEMO,1880,1880,0,9,1
RUN_000053,evidence_collect,2026-01-11T12:35:03,2026-01-11T12:54:03,SUCCESS,AIRFLOW_DEMO,756,756,0,12,0
RUN_000054,ingest_trips,2026-01-08T19:18:05,2026-01-08T19:48:05,SUCCESS,AIRFLOW_DEMO,821,821,0,11,1
RUN_000055,privacy_transform,2026-01-04T09:24:55,2026-01-04T09:59:55,FAILED,AIRFLOW_DEMO,875,840,35,6,5
RUN_000056,evidence_collect,2026-01-11T22:53:08,2026-01-11T22:59:08,SUCCESS,AIRFLOW_DEMO,1422,1422,0,12,2
RUN_000057,dq_trips,2026-01-15T04:15:37,2026-01-15T04:38:37,SUCCESS,AIRFLOW_DEMO,512,512,0,11,1
RUN_000058,ingest_trips,2026-01-12T06:26:03,2026-01-12T06:49:03,SUCCESS,AIRFLOW_DEMO,1024,1024,0,11,2
RUN_000059,privacy_transform,2026-01-07T18:00:23,2026-01-07T18:34:23,SUCCESS,AIRFLOW_DEMO,1525,1525,0,6,0
RUN_000060,privacy_transform,2026-01-08T23:29:06,2026-01-08T23:52:06,SUCCESS,AIRFLOW_DEMO,1868,1868,0,9,2
RUN_000061,evidence_collect,2026-01-13T02:25:45,2026-01-13T02:45:45,FAILED,AIRFLOW_DEMO,1948,1883,65,4,4
RUN_000062,privacy_transform,2026-01-14T03:29:38,2026-01-14T03:37:38,SUCCESS,AIRFLOW_DEMO,731,731,0,12,2
RUN_000063,privacy_transform,2026-01-14T11:49:10,2026-01-14T12:17:10,SUCCESS,AIRFLOW_DEMO,875,875,0,10,1
RUN_000064,dq_trips,2026-01-07T16:12:24,2026-01-07T16:16:24,SUCCESS,AIRFLOW_DEMO,631,631,0,7,1
RUN_000065,ingest_trips,2026-01-08T22:27:19,2026-01-08T23:07:19,SUCCESS,AIRFLOW_DEMO,1785,1785,0,7,1
RUN_000066,dq_trips,2026-01-09T18:52:33,2026-01-09T19:09:33,SUCCESS,AIRFLOW_DEMO,1775,1775,0,12,1
RUN_000067,dq_trips,2026-01-05T15:13:57,2026-01-05T15:27:57,SUCCESS,AIRFLOW_DEMO,1440,1440,0,7,0
RUN_000068,privacy_transform,2026-01-14T21:39:15,2026-01-14T21:48:15,SUCCESS,AIRFLOW_DEMO,698,698,0,7,0
RUN_000069,ingest_trips,2026-01-03T07:28:04,2026-01-03T07:58:04,SUCCESS,AIRFLOW_DEMO,1657,1657,0,8,2
RUN_000070,ingest_trips,2026-01-05T11:42:53,2026-01-05T12:12:53,FAILED,AIRFLOW_DEMO,1985,1912,73,4,4
RUN_000071,dq_trips,2026-01-11T14:14:33,2026-01-11T14:51:33,SUCCESS,AIRFLOW_DEMO,1990,1990,0,8,2
RUN_000072,ingest_trips,2026-01-07T12:05:22,2026-01-07T12:12:22,SUCCESS,AIRFLOW_DEMO,531,531,0,8,2
RUN_000073,evidence_collect,2026-01-05T03:52:24,2026-01-05T04:31:24,SUCCESS,AIRFLOW_DEMO,1944,1944,0,7,0
RUN_000074,evidence_collect,2026-01-10T23:59:05,2026-01-11T00:09:05,FAILED,AIRFLOW_DEMO,1251,1172,79,2,4
RUN_000075,dq_trips,2026-01-12T23:39:32,2026-01-13T00:14:32,FAILED,AIRFLOW_DEMO,1633,1529,104,5,4
RUN_000076,privacy_transform,2026-01-13T05:31:05,2026-01-13T05:55:05,SUCCESS,AIRFLOW_DEMO,1753,1753,0,6,1
RUN_000077,ingest_trips,2026-01-08T23:24:05,2026-01-08T23:30:05,SUCCESS,AIRFLOW_DEMO,1972,1972,0,12,0
RUN_000078,evidence_collect,2026-01-09T20:27:25,2026-01-09T20:34:25,SUCCESS,AIRFLOW_DEMO,1946,1946,0,10,2
RUN_000079,privacy_transform,2026-01-11T03:50:27,2026-01-11T04:26:27,SUCCESS,AIRFLOW_DEMO,807,807,0,10,0
RUN_000080,evidence_collect,2026-01-05T15:38:47,2026-01-05T15:56:47,SUCCESS,AIRFLOW_DEMO,825,825,0,8,0
RUN_000081,evidence_collect,2026-01-11T17:39:59,2026-01-11T17:45:59,FAILED,AIRFLOW_DEMO,1892,1751,141,3,4
RUN_000082,ingest_trips,2026-01-09T05:39:54,2026-01-09T06:05:54,FAILED,AIRFLOW_DEMO,1867,1801,66,4,4
RUN_000083,evidence_collect,2026-01-11T21:15:45,2026-01-11T21:25:45,SUCCESS,AIRFLOW_DEMO,935,935,0,11,1
RUN_000084,dq_trips,2026-01-06T04:58:28,2026-01-06T05:13:28,SUCCESS,AIRFLOW_DEMO,754,754,0,11,1
RUN_000085,dq_trips,2026-01-08T08:00:10,2026-01-08T08:06:10,PARTIAL,AIRFLOW_DEMO,939,864,75,12,4
RUN_000086,privacy_transform,2026-01-14T04:12:20,2026-01-14T04:23:20,FAILED,AIRFLOW_DEMO,662,644,18,6,7
RUN_000087,ingest_trips,2026-01-14T10:23:58,2026-01-14T10:54:58,PARTIAL,AIRFLOW_DEMO,1516,1422,94,10,7
RUN_000088,evidence_collect,2026-01-03T04:31:39,2026-01-03T04:43:39,SUCCESS,AIRFLOW_DEMO,1881,1881,0,7,0
RUN_000089,ingest_trips,2026-01-15T07:34:57,2026-01-15T07:50:57,SUCCESS,AIRFLOW_DEMO,1759,1759,0,8,0
RUN_000090,dq_trips,2026-01-10T22:53:38,2026-01-10T23:18:38,SUCCESS,AIRFLOW_DEMO,1244,1244,0,11,2
RUN_000091,privacy_transform,2026-01-02T10:42:14,2026-01-02T10:52:14,SUCCESS,AIRFLOW_DEMO,1017,1017,0,8,1
RUN_000092,evidence_collect,2026-01-10T20:04:20,2026-01-10T20:06:20,SUCCESS,AIRFLOW_DEMO,957,957,0,7,1
RUN_000093,evidence_collect,2026-01-09T18:23:34,2026-01-09T18:47:34,SUCCESS,AIRFLOW_DEMO,1295,1295,0,9,2
RUN_000094,dq_trips,2026-01-09T12:41:36,2026-01-09T12:45:36,SUCCESS,AIRFLOW_DEMO,1416,1416,0,11,1
RUN_000095,ingest_trips,2026-01-07T22:43:02,2026-01-07T22:47:02,SUCCESS,AIRFLOW_DEMO,1827,1827,0,7,0
RUN_000096,privacy_transform,2026-01-06T14:21:38,2026-01-06T14:51:38,SUCCESS,AIRFLOW_DEMO,1734,1734,0,9,1
RUN_000097,privacy_transform,2026-01-02T10:55:29,2026-01-02T11:31:29,PARTIAL,AIRFLOW_DEMO,1025,1021,4,8,3
RUN_000098,evidence_collect,2026-01-04T02:02:29,2026-01-04T02:29:29,SUCCESS,AIRFLOW_DEMO,1723,1723,0,6,1
RUN_000099,privacy_transform,2026-01-04T04:39:54,2026-01-04T04:43:54,SUCCESS,AIRFLOW_DEMO,733,733,0,10,2
RUN_000100,privacy_transform,2026-01-09T10:59:43,2026-01-09T11:12:43,SUCCESS,AIRFLOW_DEMO,919,919,0,9,0
RUN_000101,ingest_trips,2026-01-04T06:40:52,2026-01-04T07:14:52,SUCCESS,AIRFLOW_DEMO,1748,1748,0,10,1
RUN_000102,privacy_transform,2026-01-10T16:19:34,2026-01-10T16:56:34,SUCCESS,AIRFLOW_DEMO,1470,1470,0,8,0
RUN_000103,privacy_transform,2026-01-03T22:10:58,2026-01-03T22:48:58,SUCCESS,AIRFLOW_DEMO,1913,1913,0,10,0
RUN_000104,privacy_transform,2026-01-10T16:37:00,2026-01-10T17:03:00,PARTIAL,AIRFLOW_DEMO,1904,1804,100,7,7
RUN_000105,evidence_collect,2026-01-12T23:19:31,2026-01-12T23:26:31,SUCCESS,AIRFLOW_DEMO,1835,1835,0,9,2
RUN_000106,dq_trips,2026-01-12T12:21:17,2026-01-12T12:33:17,SUCCESS,AIRFLOW_DEMO,1569,1569,0,6,1
RUN_000107,dq_trips,2026-01-06T05:42:04,2026-01-06T06:18:04,SUCCESS,AIRFLOW_DEMO,1845,1845,0,8,0
RUN_000108,dq_trips,2026-01-08T13:27:12,2026-01-08T13:53:12,SUCCESS,AIRFLOW_DEMO,1791,1791,0,7,1
RUN_000109,dq_trips,2026-01-11T09:56:19,2026-01-11T10:21:19,SUCCESS,AIRFLOW_DEMO,889,889,0,10,1
RUN_000110,privacy_transform,2026-01-12T03:59:38,2026-01-12T04:07:38,SUCCESS,AIRFLOW_DEMO,1722,1722,0,12,2
RUN_000111,privacy_transform,2026-01-08T03:48:13,2026-01-08T04:28:13,SUCCESS,AIRFLOW_DEMO,1169,1169,0,7,2
RUN_000112,ingest_trips,2026-01-11T23:13:26,2026-01-11T23:45:26,FAILED,AIRFLOW_DEMO,981,964,17,1,7
RUN_000113,privacy_transform,2026-01-03T04:54:28,2026-01-03T05:14:28,SUCCESS,AIRFLOW_DEMO,1487,1487,0,6,1
RUN_000114,ingest_trips,2026-01-03T10:29:19,2026-01-03T10:58:19,SUCCESS,AIRFLOW_DEMO,1872,1872,0,7,2
RUN_000115,evidence_collect,2026-01-10T02:26:13,2026-01-10T02:39:13,SUCCESS,AIRFLOW_DEMO,916,916,0,8,1
RUN_000116,privacy_transform,2026-01-11T17:32:12,2026-01-11T18:05:12,SUCCESS,AIRFLOW_DEMO,815,815,0,12,2
RUN_000117,privacy_transform,2026-01-04T09:21:51,2026-01-04T09:56:51,FAILED,AIRFLOW_DEMO,1162,1100,62,4,5
RUN_000118,dq_trips,2026-01-11T21:27:05,2026-01-11T21:46:05,SUCCESS,AIRFLOW_DEMO,839,839,0,7,0
RUN_000119,ingest_trips,2026-01-15T13:23:54,2026-01-15T14:02:54,SUCCESS,AIRFLOW_DEMO,1748,1748,0,7,1
RUN_000120,privacy_transform,2026-01-06T21:43:03,2026-01-06T22:11:03,SUCCESS,AIRFLOW_DEMO,1525,1525,0,8,0
