trip_id,vehicle_vin,driver_id,pickup_datetime,dropoff_datetime,assigned_day_index,trip_distance_km,fare_amount,currency_unverified,tip_amount,total_fare,pickup_latitude,pickup_longitude,vehicle_type,event_sequence_index,subject_zone
XANH_TRIP_0014,VF8VNF_0001,DRV_XANH_0001,2026-01-02T14:34:00,2026-01-02T14:59:00,1,16.737,402895.0,True,148784.0,551679.0,52.486764,13.415489,VF_e34_TAXI,4,EU
XANH_TRIP_0015,VF8VNF_0001,DRV_XANH_0001,2026-01-02T15:38:00,2026-01-02T15:57:00,1,10.783,534101.0,True,17719.0,551820.0,52.460884,13.316622,VF_e34_TAXI,5,EU
XANH_TRIP_0016,VF8VNF_0001,DRV_XANH_0001,2026-01-02T16:02:00,2026-01-02T16:27:00,1,23.014,306055.0,True,58867.0,364922.0,52.526965,13.374486,VF_e34_TAXI,6,EU
XANH_TRIP_0017,VF8VNF_0001,DRV_XANH_0001,2026-01-02T16:32:00,2026-01-02T16:47:00,1,23.657,179095.0,True,16300.0,195395.0,52.486179,13.360815,VF_e34_TAXI,7,EU
XANH_TRIP_0018,VF8VNF_0001,DRV_XANH_0001,2026-01-02T16:52:00,2026-01-02T17:12:00,1,17.703,446090.0,True,113462.0,559552.0,52.514709,13.314203,VF_e34_TAXI,8,EU
XANH_TRIP_0019,VF8VNF_0001,DRV_XANH_0001,2026-01-03T06:00:00,2026-01-03T06:18:00,2,20.761,90693.0,True,135485.0,226178.0,52.539721,13.347737,VF_e34_TAXI,0,EU
XANH_TRIP_0020,VF8VNF_0001,DRV_XANH_0001,2026-01-03T06:29:00,2026-01-03T06:53:00,2,30.578,181778.0,True,7720.0,189498.0,52.503911,13.442857,VF_e34_TAXI,1,EU
XANH_TRIP_0021,VF8VNF_0001,DRV_XANH_0001,2026-01-03T06:58:00,2026-01-03T07:13:00,2,6.437,416697.0,True,20557.0,437254.0,52.474721,13.366288,VF_e34_TAXI,2,EU
XANH_TRIP_0022,VF8VNF_0001,DRV_XANH_0001,2026-01-03T07:33:00,2026-01-03T07:55:00,2,4.345,50068.0,True,19533.0,69601.0,52.530451,13.444805,VF_e34_TAXI,3,EU
XANH_TRIP_0023,VF8VNF_0001,DRV_XANH_0001,2026-01-03T08:23:00,2026-01-03T08:43:00,2,13.679,475371.0,True,71289.0,546660.0,52.486807,13.425868,VF_e34_TAXI,4,EU
XANH_TRIP_0024,VF8VNF_0001,DRV_XANH_0001,2026-01-03T09:01:00,2026-01-03T09:25:00,2,21.404,443464.0,True,192198.0,635662.0,52.464330,13.448499,VF_e34_TAXI,5,EU
XANH_TRIP_0025,VF8VNF_0001,DRV_XANH_0001,2026-01-03T09:33:00,2026-01-03T09:55:00,2,9.656,529687.0,True,17521.0,547208.0,52.512057,13.312351,VF_e34_TAXI,6,EU
XANH_TRIP_0026,VF8VNF_0001,DRV_XANH_0001,2026-01-03T12:49:00,2026-01-03T13:11:00,2,23.014,94605.0,True,76006.0,170611.0,52.540916,13.396744,VF_e34_TAXI,7,EU
XANH_TRIP_0027,VF8VNF_0001,DRV_XANH_0001,2026-01-03T13:16:00,2026-01-03T13:31:00,2,14.806,205024.0,True,8780.0,213804.0,52.468506,13.373456,VF_e34_TAXI,8,EU
XANH_TRIP_0028,VF8VNF_0001,DRV_XANH_0001,2026-01-03T13:51:00,2026-01-03T14:11:00,2,14.323,82479.0,True,30169.0,112648.0,52.452627,13.360670,VF_e34_TAXI,9,EU
XANH_TRIP_0029,VF8VNF_0001,DRV_XANH_0001,2026-01-03T14:16:00,2026-01-03T14:39:00,2,22.048,269118.0,True,43371.0,312489.0,52.469767,13.353222,VF_e34_TAXI,10,EU
XANH_TRIP_0030,VF8VNF_0001,DRV_XANH_0001,2026-01-03T14:44:00,2026-01-03T14:59:00,2,28.646,57109.0,True,159983.0,217092.0,52.480161,13.441193,VF_e34_TAXI,11,EU
XANH_TRIP_0031,VF8VNF_0001,DRV_XANH_0001,2026-01-03T15:04:00,2026-01-03T15:22:00,2,9.334,500070.0,True,5576.0,505646.0,52.483515,13.401761,VF_e34_TAXI,12,EU
XANH_TRIP_0032,VF8VNF_0001,DRV_XANH_0001,2026-01-03T15:59:00,2026-01-03T16:17:00,2,16.254,58003.0,True,40183.0,98186.0,52.514801,13.393762,VF_e34_TAXI,13,EU
XANH_TRIP_0033,VF8VNF_0001,DRV_XANH_0001,2026-01-03T16:22:00,2026-01-03T16:42:00,2,11.104,527619.0,True,15358.0,542977.0,52.468917,13.434643,VF_e34_TAXI,14,EU
XANH_TRIP_0034,VF8VNF_0001,DRV_XANH_0001,2026-01-03T16:47:00,2026-01-03T17:05:00,2,1.127,307955.0,True,105157.0,413112.0,52.497838,13.440702,VF_e34_TAXI,15,EU
XANH_TRIP_0035,VF8VNF_0001,DRV_XANH_0001,2026-01-03T17:10:00,2026-01-03T17:30:00,2,25.106,142103.0,True,47546.0,189649.0,52.503491,13.375578,VF_e34_TAXI,16,EU
XANH_TRIP_0036,VF8VNF_0001,DRV_XANH_0001,2026-01-04T06:00:00,2026-01-04T06:18:00,3,8.047,530078.0,True,14760.0,544838.0,52.473071,13.360974,VF_e34_TAXI,0,EU
XANH_TRIP_0037,VF8VNF_0001,DRV_XANH_0001,2026-01-04T06:23:00,2026-01-04T06:48:00,3,0.805,534436.0,True,56909.0,591345.0,52.454769,13.432893,VF_e34_TAXI,1,EU
XANH_TRIP_0038,VF8VNF_0001,DRV_XANH_0001,2026-01-04T06:53:00,2026-01-04T07:14:00,3,16.576,463022.0,True,20703.0,483725.0,52.504545,13.389891,VF_e34_TAXI,2,EU
XANH_TRIP_0039,VF8VNF_0001,DRV_XANH_0001,2026-01-04T07:19:00,2026-01-04T07:35:00,3,32.026,76779.0,True,13501.0,90280.0,52.481760,13.365831,VF_e34_TAXI,3,EU
XANH_TRIP_0040,VF8VNF_0001,DRV_XANH_0001,2026-01-04T07:40:00,2026-01-04T07:57:00,3,19.312,95164.0,True,19833.0,114997.0,52.482900,13.352986,VF_e34_TAXI,4,EU
XANH_TRIP_0041,VF8VNF_0001,DRV_XANH_0001,2026-01-04T08:52:00,2026-01-04T09:11:00,3,11.909,65044.0,True,10378.0,75422.0,52.453415,13.328489,VF_e34_TAXI,5,EU
XANH_TRIP_0042,VF8VNF_0001,DRV_XANH_0001,2026-01-04T09:24:00,2026-01-04T09:43:00,3,15.128,104999.0,True,33679.0,138678.0,52.540032,13.351107,VF_e34_TAXI,6,EU
XANH_TRIP_0043,VF8VNF_0001,DRV_XANH_0001,2026-01-04T10:01:00,2026-01-04T10:16:00,3,2.414,250063.0,True,106464.0,356527.0,52.465779,13.444177,VF_e34_TAXI,7,EU
XANH_TRIP_0044,VF8VNF_0001,DRV_XANH_0001,2026-01-04T10:21:00,2026-01-04T10:43:00,3,9.012,410718.0,True,53828.0,464546.0,52.481062,13.336462,VF_e34_TAXI,8,EU
XANH_TRIP_0045,VF8VNF_0001,DRV_XANH_0001,2026-01-04T10:48:00,2026-01-04T11:03:00,3,21.243,222067.0,True,22109.0,244176.0,52.523876,13.412504,VF_e34_TAXI,9,EU
XANH_TRIP_0046,VF8VNF_0001,DRV_XANH_0001,2026-01-04T11:08:00,2026-01-04T11:28:00,3,31.543,278506.0,True,167304.0,445810.0,52.471995,13.350868,VF_e34_TAXI,10,EU
XANH_TRIP_0047,VF8VNF_0001,DRV_XANH_0001,2026-01-04T11:33:00,2026-01-04T11:57:00,3,22.531,466822.0,True,16736.0,483558.0,52.459440,13.347558,VF_e34_TAXI,11,EU
XANH_TRIP_0048,VF8VNF_0001,DRV_XANH_0001,2026-01-04T12:47:00,2026-01-04T13:02:00,3,12.714,300914.0,True,18048.0,318962.0,52.526607,13.335130,VF_e34_TAXI,12,EU
XANH_TRIP_0049,VF8VNF_0001,DRV_XANH_0001,2026-01-05T06:00:00,2026-01-05T06:21:00,4,8.53,312537.0,True,43786.0,356323.0,52.478101,13.409696,VF_e34_TAXI,0,EU
XANH_TRIP_0050,VF8VNF_0001,DRV_XANH_0001,2026-01-05T06:40:00,2026-01-05T07:01:00,4,24.623,205080.0,True,11996.0,217076.0,52.460254,13.389701,VF_e34_TAXI,1,EU
XANH_TRIP_0051,VF8VNF_0001,DRV_XANH_0001,2026-01-05T07:06:00,2026-01-05T07:30:00,4,28.807,471180.0,True,34910.0,506090.0,52.545831,13.350703,VF_e34_TAXI,2,EU
XANH_TRIP_0052,VF8VNF_0001,DRV_XANH_0001,2026-01-05T08:56:00,2026-01-05T09:14:00,4,26.393,84826.0,True,6851.0,91677.0,52.527257,13.341432,VF_e34_TAXI,3,EU
XANH_TRIP_0053,VF8VNF_0001,DRV_XANH_0001,2026-01-05T09:30:00,2026-01-05T09:46:00,4,26.876,161158.0,True,51187.0,212345.0,52.527267,13.436387,VF_e34_TAXI,4,EU
XANH_TRIP_0054,VF8VNF_0001,DRV_XANH_0001,2026-01-05T14:40:00,2026-01-05T14:57:00,4,7.564,111034.0,True,17924.0,128958.0,52.505212,13.329543,VF_e34_TAXI,5,EU
XANH_TRIP_0055,VF8VNF_0001,DRV_XANH_0001,2026-01-05T15:05:00,2026-01-05T15:20:00,4,10.3,62865.0,True,19997.0,82862.0,52.534984,13.436437,VF_e34_TAXI,6,EU
XANH_TRIP_0056,VF8VNF_0001,DRV_XANH_0001,2026-01-05T16:22:00,2026-01-05T16:43:00,4,4.184,527675.0,True,40418.0,568093.0,52.481473,13.356236,VF_e34_TAXI,7,EU
XANH_TRIP_0057,VF8VNF_0001,DRV_XANH_0001,2026-01-05T16:55:00,2026-01-05T17:13:00,4,17.703,530636.0,True,24650.0,555286.0,52.461582,13.363117,VF_e34_TAXI,8,EU
XANH_TRIP_0058,VF8VNF_0001,DRV_XANH_0001,2026-01-05T17:18:00,2026-01-05T17:37:00,4,5.794,508955.0,True,28213.0,537168.0,52.549165,13.444084,VF_e34_TAXI,9,EU
XANH_TRIP_0059,VF8VNF_0001,DRV_XANH_0001,2026-01-05T17:54:00,2026-01-05T18:00:00,4,26.876,43922.0,True,72781.0,116703.0,52.530031,13.406579,VF_e34_TAXI,10,EU
XANH_TRIP_0060,VF8VNF_0001,DRV_XANH_0001,2026-01-06T06:00:00,2026-01-06T06:19:00,5,31.06,101757.0,True,83063.0,184820.0,52.450800,13.389178,VF_e34_TAXI,0,EU
XANH_TRIP_0061,VF8VNF_0001,DRV_XANH_0001,2026-01-06T06:24:00,2026-01-06T06:44:00,5,17.381,59568.0,True,38476.0,98044.0,52.476424,13.334374,VF_e34_TAXI,1,EU
XANH_TRIP_0062,VF8VNF_0001,DRV_XANH_0001,2026-01-06T06:49:00,2026-01-06T07:13:00,5,28.485,42972.0,True,17799.0,60771.0,52.457583,13.328932,VF_e34_TAXI,2,EU
XANH_TRIP_0063,VF8VNF_0001,DRV_XANH_0001,2026-01-06T07:18:00,2026-01-06T07:38:00,5,22.531,548015.0,True,14100.0,562115.0,52.542231,13.405701,VF_e34_TAXI,3,EU
XANH_TRIP_0064,VF8VNF_0001,DRV_XANH_0001,2026-01-06T07:43:00,2026-01-06T08:05:00,5,21.404,115169.0,True,11426.0,126595.0,52.547181,13.372422,VF_e34_TAXI,4,EU
XANH_TRIP_0065,VF8VNF_0001,DRV_XANH_0001,2026-01-06T13:02:00,2026-01-06T13:21:00,5,20.439,342433.0,True,47078.0,389511.0,52.475689,13.432438,VF_e34_TAXI,5,EU
XANH_TRIP_0066,VF8VNF_0001,DRV_XANH_0001,2026-01-06T13:48:00,2026-01-06T14:03:00,5,11.265,385348.0,True,20038.0,405386.0,52.488557,13.395550,VF_e34_TAXI,6,EU
XANH_TRIP_0067,VF8VNF_0001,DRV_XANH_0001,2026-01-06T14:08:00,2026-01-06T14:27:00,5,7.564,101310.0,True,16853.0,118163.0,52.508475,13.423922,VF_e34_TAXI,7,EU
XANH_TRIP_0068,VF8VNF_0001,DRV_XANH_0001,2026-01-06T14:42:00,2026-01-06T15:07:00,5,25.91,173004.0,True,29226.0,202230.0,52.474046,13.370342,VF_e34_TAXI,8,EU
XANH_TRIP_0069,VF8VNF_0001,DRV_XANH_0001,2026-01-06T15:12:00,2026-01-06T15:35:00,5,29.612,61636.0,True,27635.0,89271.0,52.521438,13.309537,VF_e34_TAXI,9,EU
XANH_TRIP_0070,VF8VNF_0001,DRV_XANH_0001,2026-01-06T15:40:00,2026-01-06T16:02:00,5,29.934,523707.0,True,200000.0,723707.0,52.459967,13.418863,VF_e34_TAXI,10,EU
XANH_TRIP_0071,VF8VNF_0001,DRV_XANH_0001,2026-01-06T16:07:00,2026-01-06T16:23:00,5,14.484,454528.0,True,7179.0,461707.0,52.539747,13.326481,VF_e34_TAXI,11,EU
XANH_TRIP_0072,VF8VNF_0001,DRV_XANH_0001,2026-01-06T16:49:00,2026-01-06T17:13:00,5,3.058,65435.0,True,34226.0,99661.0,52.510735,13.411883,VF_e34_TAXI,12,EU
XANH_TRIP_0073,VF8VNF_0001,DRV_XANH_0001,2026-01-07T06:00:00,2026-01-07T06:20:00,6,14.806,525663.0,True,125321.0,650984.0,52.545295,13.301524,VF_e34_TAXI,0,EU
XANH_TRIP_0074,VF8VNF_0001,DRV_XANH_0001,2026-01-07T06:46:00,2026-01-07T07:01:00,6,13.358,207371.0,True,11232.0,218603.0,52.541959,13.437905,VF_e34_TAXI,1,EU
XANH_TRIP_0075,VF8VNF_0001,DRV_XANH_0001,2026-01-07T07:06:00,2026-01-07T07:29:00,6,4.828,340756.0,True,31418.0,372174.0,52.472587,13.302803,VF_e34_TAXI,2,EU
XANH_TRIP_0076,VF8VNF_0001,DRV_XANH_0001,2026-01-07T07:34:00,2026-01-07T07:59:00,6,17.381,427258.0,True,23133.0,450391.0,52.512149,13.307735,VF_e34_TAXI,3,EU
XANH_TRIP_0077,VF8VNF_0001,DRV_XANH_0001,2026-01-07T08:04:00,2026-01-07T08:26:00,6,20.439,459110.0,True,35785.0,494895.0,52.478103,13.333593,VF_e34_TAXI,4,EU
XANH_TRIP_0078,VF8VNF_0001,DRV_XANH_0001,2026-01-07T13:03:00,2026-01-07T13:20:00,6,25.428,483530.0,True,14522.0,498052.0,52.468953,13.340312,VF_e34_TAXI,5,EU
XANH_TRIP_0079,VF8VNF_0001,DRV_XANH_0001,2026-01-07T13:25:00,2026-01-07T13:47:00,6,24.462,434299.0,True,21128.0,455427.0,52.503653,13.378213,VF_e34_TAXI,6,EU
XANH_TRIP_0080,VF8VNF_0001,DRV_XANH_0001,2026-01-07T13:58:00,2026-01-07T14:16:00,6,6.598,129921.0,True,29852.0,159773.0,52.471755,13.359099,VF_e34_TAXI,7,EU
XANH_TRIP_0081,VF8VNF_0001,DRV_XANH_0001,2026-01-07T14:21:00,2026-01-07T14:45:00,6,3.38,167528.0,True,20236.0,187764.0,52.510276,13.387249,VF_e34_TAXI,8,EU
XANH_TRIP_0082,VF8VNF_0001,DRV_XANH_0001,2026-01-07T15:07:00,2026-01-07T15:30:00,6,32.187,400939.0,True,59316.0,460255.0,52.460213,13.403823,VF_e34_TAXI,9,EU
XANH_TRIP_0083,VF8VNF_0001,DRV_XANH_0001,2026-01-07T15:35:00,2026-01-07T15:55:00,6,8.851,322651.0,True,42534.0,365185.0,52.490779,13.308922,VF_e34_TAXI,10,EU
XANH_TRIP_0084,VF8VNF_0001,DRV_XANH_0001,2026-01-07T16:13:00,2026-01-07T16:31:00,6,21.404,339918.0,True,27048.0,366966.0,52.503196,13.330726,VF_e34_TAXI,11,EU
XANH_TRIP_0085,VF8VNF_0001,DRV_XANH_0001,2026-01-07T16:36:00,2026-01-07T16:52:00,6,12.553,459166.0,True,8339.0,467505.0,52.473949,13.323602,VF_e34_TAXI,12,EU
XANH_TRIP_0086,VF8VNF_0001,DRV_XANH_0001,2026-01-07T16:57:00,2026-01-07T17:14:00,6,22.692,435529.0,True,49306.0,484835.0,52.498087,13.327045,VF_e34_TAXI,13,EU
XANH_TRIP_0087,VF8VNF_0001,DRV_XANH_0001,2026-01-07T17:19:00,2026-01-07T17:40:00,6,7.564,465033.0,True,48485.0,513518.0,52.519907,13.348488,VF_e34_TAXI,14,EU
XANH_TRIP_0088,VF8VNF_0001,DRV_XANH_0001,2026-01-08T06:00:00,2026-01-08T06:17:00,7,24.623,502082.0,True,23315.0,525397.0,52.469692,13.411478,VF_e34_TAXI,0,EU
XANH_TRIP_0089,VF8VNF_0001,DRV_XANH_0001,2026-01-08T06:22:00,2026-01-08T06:43:00,7,18.99,203012.0,True,67116.0,270128.0,52.494591,13.417923,VF_e34_TAXI,1,EU
XANH_TRIP_0090,VF8VNF_0001,DRV_XANH_0001,2026-01-08T06:48:00,2026-01-08T07:11:00,7,22.048,296667.0,True,98461.0,395128.0,52.478026,13.374453,VF_e34_TAXI,2,EU
XANH_TRIP_0091,VF8VNF_0001,DRV_XANH_0001,2026-01-08T07:26:00,2026-01-08T07:41:00,7,21.404,427761.0,True,49212.0,476973.0,52.472695,13.368669,VF_e34_TAXI,3,EU
XANH_TRIP_0092,VF8VNF_0001,DRV_XANH_0001,2026-01-08T07:46:00,2026-01-08T08:06:00,7,28.968,380263.0,True,37271.0,417534.0,52.486640,13.322041,VF_e34_TAXI,4,EU
XANH_TRIP_0093,VF8VNF_0001,DRV_XANH_0001,2026-01-08T08:55:00,2026-01-08T09:15:00,7,12.231,100137.0,True,22231.0,122368.0,52.487389,13.322228,VF_e34_TAXI,5,EU
XANH_TRIP_0094,VF8VNF_0001,DRV_XANH_0001,2026-01-08T09:34:00,2026-01-08T09:51:00,7,9.012,316113.0,True,22878.0,338991.0,52.545633,13.375374,VF_e34_TAXI,6,EU
XANH_TRIP_0095,VF8VNF_0001,DRV_XANH_0001,2026-01-08T10:29:00,2026-01-08T10:48:00,7,15.289,445867.0,True,61147.0,507014.0,52.468291,13.434265,VF_e34_TAXI,7,EU
XANH_TRIP_0096,VF8VNF_0001,DRV_XANH_0001,2026-01-08T10:53:00,2026-01-08T11:12:00,7,18.507,75773.0,True,26666.0,102439.0,52.497104,13.351031,VF_e34_TAXI,8,EU
XANH_TRIP_0097,VF8VNF_0001,DRV_XANH_0001,2026-01-08T11:17:00,2026-01-08T11:35:00,7,15.933,152999.0,True,12133.0,165132.0,52.522787,13.342856,VF_e34_TAXI,9,EU
XANH_TRIP_0098,VF8VNF_0001,DRV_XANH_0001,2026-01-08T11:46:00,2026-01-08T12:07:00,7,28.968,299182.0,True,17525.0,316707.0,52.523333,13.317245,VF_e34_TAXI,10,EU
XANH_TRIP_0099,VF8VNF_0001,DRV_XANH_0001,2026-01-09T06:00:00,2026-01-09T06:24:00,8,14.806,233355.0,True,102411.0,335766.0,52.522432,13.346657,VF_e34_TAXI,0,EU
XANH_TRIP_0100,VF8VNF_0001,DRV_XANH_0001,2026-01-09T06:37:00,2026-01-09T07:02:00,8,25.589,101981.0,True,35128.0,137109.0,52.515807,13.399334,VF_e34_TAXI,1,EU
XANH_TRIP_0101,VF8VNF_0001,DRV_XANH_0001,2026-01-09T07:24:00,2026-01-09T07:41:00,8,31.865,412059.0,True,13244.0,425303.0,52.492907,13.371450,VF_e34_TAXI,2,EU
XANH_TRIP_0102,VF8VNF_0001,DRV_XANH_0001,2026-01-09T07:46:00,2026-01-09T08:01:00,8,9.173,253025.0,True,46377.0,299402.0,52.548329,13.317731,VF_e34_TAXI,3,EU
XANH_TRIP_0103,VF8VNF_0001,DRV_XANH_0001,2026-01-09T11:03:00,2026-01-09T11:18:00,8,25.428,389987.0,True,11473.0,401460.0,52.538473,13.401151,VF_e34_TAXI,4,EU
XANH_TRIP_0104,VF8VNF_0001,DRV_XANH_0001,2026-01-09T11:34:00,2026-01-09T11:49:00,8,16.254,112710.0,True,22451.0,135161.0,52.516993,13.369931,VF_e34_TAXI,5,EU
XANH_TRIP_0105,VF8VNF_0001,DRV_XANH_0001,2026-01-09T11:54:00,2026-01-09T12:12:00,8,7.725,170266.0,True,42566.0,212832.0,52.485621,13.422767,VF_e34_TAXI,6,EU
XANH_TRIP_0106,VF8VNF_0001,DRV_XANH_0001,2026-01-09T12:20:00,2026-01-09T12:37:00,8,23.818,474812.0,True,63548.0,538360.0,52.536855,13.444630,VF_e34_TAXI,7,EU
XANH_TRIP_0107,VF8VNF_0001,DRV_XANH_0001,2026-01-09T12:53:00,2026-01-09T13:10:00,8,3.701,201894.0,True,22289.0,224183.0,52.548099,13.319733,VF_e34_TAXI,8,EU
XANH_TRIP_0108,VF8VNF_0001,DRV_XANH_0001,2026-01-09T13:15:00,2026-01-09T13:36:00,8,30.417,502305.0,True,35476.0,537781.0,52.500527,13.385151,VF_e34_TAXI,9,EU
XANH_TRIP_0109,VF8VNF_0001,DRV_XANH_0001,2026-01-09T13:41:00,2026-01-09T14:06:00,8,2.897,165628.0,True,11170.0,176798.0,52.546633,13.353771,VF_e34_TAXI,10,EU
XANH_TRIP_0110,VF8VNF_0001,DRV_XANH_0001,2026-01-09T14:22:00,2026-01-09T14:47:00,8,3.701,168143.0,True,31105.0,199248.0,52.461385,13.328475,VF_e34_TAXI,11,EU
XANH_TRIP_0111,VF8VNF_0001,DRV_XANH_0001,2026-01-09T14:52:00,2026-01-09T15:07:00,8,9.173,227487.0,True,117635.0,345122.0,52.511372,13.446902,VF_e34_TAXI,12,EU
XANH_TRIP_0112,VF8VNF_0001,DRV_XANH_0001,2026-01-09T15:27:00,2026-01-09T15:43:00,8,12.07,399989.0,True,109453.0,509442.0,52.543017,13.430436,VF_e34_TAXI,13,EU
XANH_TRIP_0113,VF8VNF_0001,DRV_XANH_0001,2026-01-09T16:09:00,2026-01-09T16:26:00,8,5.15,199995.0,True,24751.0,224746.0,52.464767,13.317505,VF_e34_TAXI,14,EU
XANH_TRIP_0114,VF8VNF_0001,DRV_XANH_0001,2026-01-09T16:31:00,2026-01-09T16:54:00,8,23.014,89129.0,True,28917.0,118046.0,52.472661,13.413224,VF_e34_TAXI,15,EU
XANH_TRIP_0115,VF8VNF_0001,DRV_XANH_0001,2026-01-09T17:09:00,2026-01-09T17:31:00,8,12.714,121036.0,True,35412.0,156448.0,52.493957,13.354803,VF_e34_TAXI,16,EU
XANH_TRIP_0116,VF8VNF_0001,DRV_XANH_0001,2026-01-10T06:29:00,2026-01-10T06:52:00,9,7.403,316560.0,True,101795.0,418355.0,52.496087,13.306387,VF_e34_TAXI,0,EU
XANH_TRIP_0117,VF8VNF_0001,DRV_XANH_0001,2026-01-10T07:22:00,2026-01-10T07:40:00,9,28.485,92314.0,True,81140.0,173454.0,52.487912,13.429862,VF_e34_TAXI,1,EU
XANH_TRIP_0118,VF8VNF_0001,DRV_XANH_0001,2026-01-10T07:45:00,2026-01-10T08:07:00,9,16.737,263474.0,True,81466.0,344940.0,52.548223,13.328385,VF_e34_TAXI,2,EU
XANH_TRIP_0119,VF8VNF_0001,DRV_XANH_0001,2026-01-10T11:50:00,2026-01-10T12:10:00,9,29.612,428711.0,True,30402.0,459113.0,52.474819,13.351854,VF_e34_TAXI,3,EU
XANH_TRIP_0120,VF8VNF_0001,DRV_XANH_0001,2026-01-10T12:15:00,2026-01-10T12:31:00,9,13.358,177028.0,True,24632.0,201660.0,52.533194,13.324517,VF_e34_TAXI,4,EU
XANH_TRIP_0121,VF8VNF_0001,DRV_XANH_0001,2026-01-10T12:42:00,2026-01-10T13:00:00,9,22.209,428488.0,True,20961.0,449449.0,52.485934,13.434030,VF_e34_TAXI,5,EU
XANH_TRIP_0122,VF8VNF_0001,DRV_XANH_0001,2026-01-10T13:37:00,2026-01-10T13:52:00,9,7.242,363667.0,True,21567.0,385234.0,52.467771,13.328285,VF_e34_TAXI,6,EU
XANH_TRIP_0123,VF8VNF_0001,DRV_XANH_0001,2026-01-10T14:08:00,2026-01-10T14:31:00,9,7.403,117516.0,True,19480.0,136996.0,52.534237,13.301913,VF_e34_TAXI,7,EU
XANH_TRIP_0124,VF8VNF_0001,DRV_XANH_0001,2026-01-10T14:45:00,2026-01-10T15:00:00,9,23.979,118186.0,True,79757.0,197943.0,52.450251,13.315597,VF_e34_TAXI,8,EU
XANH_TRIP_0125,VF8VNF_0001,DRV_XANH_0001,2026-01-10T15:16:00,2026-01-10T15:36:00,9,18.347,537342.0,True,35450.0,572792.0,52.517165,13.424301,VF_e34_TAXI,9,EU
XANH_TRIP_0126,VF8VNF_0001,DRV_XANH_0001,2026-01-10T15:53:00,2026-01-10T16:18:00,9,9.978,374396.0,True,38031.0,412427.0,52.504663,13.440652,VF_e34_TAXI,10,EU
