record_id,vehicle_vin,day_idx,sample_idx,timestamp,speed_kmh,motor_rpm,battery_soc,battery_voltage,battery_current,battery_temp_c,state_at_sample,assigned_day_index,ved_reference_veh_id,synthetic_gap_indicator,event_sequence_index,latitude,longitude,accel_z,telemetry_coverage
EV_REC_0035,VF8VNF_0001,0,35,2026-01-01T08:45:00,46.87,3090,81.96,380.81,18.03,22.63,DRIVING_PASSENGER,0,10,False,35,21.026365,105.860824,-0.075,full
EV_REC_0036,VF8VNF_0001,0,36,2026-01-01T09:00:00,0.0,0,32.05,371.28,-1.57,38.39,IDLE,0,10,False,36,21.02711,105.821804,0.0,full
EV_REC_0037,VF8VNF_0001,0,37,2026-01-01T09:15:00,0.0,0,30.98,371.32,1.9,30.24,IDLE,0,10,False,37,21.020612,105.826176,0.0,full
EV_REC_0038,VF8VNF_0001,0,38,2026-01-01T09:30:00,0.0,0,29.44,369.67,-3.9,29.84,IDLE,0,10,False,38,21.026452,105.826695,0.0,full
EV_REC_0039,VF8VNF_0001,0,39,2026-01-01T09:45:00,0.0,0,29.75,369.55,1.51,22.69,IDLE,0,10,False,39,21.020713,105.821576,0.0,full
EV_REC_0040,VF8VNF_0001,0,40,2026-01-01T10:00:00,0.0,0,30.38,370.3,0.04,33.57,IDLE,0,10,False,40,21.02432,105.82619,0.0,full
EV_REC_0041,VF8VNF_0001,0,41,2026-01-01T10:15:00,0.0,0,30.4,373.89,0.11,29.54,IDLE,0,10,False,41,21.015504,105.826736,0.0,full
EV_REC_0042,VF8VNF_0001,0,42,2026-01-01T10:30:00,0.0,0,31.29,370.76,-2.65,23.39,IDLE,0,10,False,42,21.013568,105.820389,0.0,full
EV_REC_0043,VF8VNF_0001,0,43,2026-01-01T10:45:00,0.0,0,30.49,370.42,-52.13,34.13,CHARGING,0,10,False,43,21.023386,105.831224,0.0,full
EV_REC_0044,VF8VNF_0001,0,44,2026-01-01T11:00:00,0.0,0,46.03,376.05,-45.79,30.84,CHARGING,0,10,False,44,21.025281,105.822148,0.0,full
EV_REC_0045,VF8VNF_0001,0,45,2026-01-01T11:15:00,0.0,0,59.79,375.53,-38.05,31.51,CHARGING,0,10,False,45,21.030081,105.817999,0.0,full
EV_REC_0046,VF8VNF_0001,0,46,2026-01-01T11:30:00,0.0,0,73.28,374.14,-47.51,35.25,CHARGING,0,10,False,46,21.018763,105.83029,0.0,full
EV_REC_0047,VF8VNF_0001,0,47,2026-01-01T11:45:00,0.0,0,88.81,375.82,-36.84,36.98,CHARGING,0,10,False,47,21.02478,105.817233,0.0,full
EV_REC_0048,VF8VNF_0001,0,48,2026-01-01T12:00:00,19.05,1039,70.91,375.52,38.68,33.68,DRIVING_PASSENGER,0,10,False,48,21.027197,105.798807,-0.305,full
EV_REC_0049,VF8VNF_0001,0,49,2026-01-01T12:15:00,0.0,0,31.25,368.4,-0.28,39.97,IDLE,0,10,False,49,21.021268,105.82028,0.0,full
EV_REC_0050,VF8VNF_0001,0,50,2026-01-01T12:30:00,13.42,978,68.27,373.52,22.26,30.58,DRIVING_PASSENGER,0,10,False,50,21.040695,105.787174,0.162,full
EV_REC_0051,VF8VNF_0001,0,51,2026-01-01T12:45:00,4.52,629,66.32,374.41,12.94,35.0,DRIVING_PASSENGER,0,10,False,51,21.009011,105.844864,0.114,full
EV_REC_0052,VF8VNF_0001,0,52,2026-01-01T13:00:00,0.0,0,31.11,372.32,-2.9,36.1,IDLE,0,10,False,52,21.024722,105.819127,0.0,full
EV_REC_0053,VF8VNF_0001,0,53,2026-01-01T13:15:00,37.28,2720,64.98,372.68,27.88,36.26,DRIVING_PASSENGER,0,10,False,53,21.05349,105.846802,0.01,full
EV_REC_0054,VF8VNF_0001,0,54,2026-01-01T13:30:00,0.0,0,63.9,375.41,-2.31,35.29,IDLE,0,10,False,54,21.027893,105.826836,0.0,full
EV_REC_0055,VF8VNF_0001,0,55,2026-01-01T13:45:00,26.94,2001,63.45,376.56,31.67,29.6,DRIVING_PASSENGER,0,10,False,55,21.032092,105.82457,-0.026,full
EV_REC_0056,VF8VNF_0001,0,56,2026-01-01T14:00:00,0.0,0,28.94,371.75,3.19,33.11,IDLE,0,10,False,56,21.033926,105.834983,0.0,full
EV_REC_0057,VF8VNF_0001,0,57,2026-01-01T14:15:00,27.84,1772,61.71,373.19,34.25,29.89,DRIVING_PASSENGER,0,10,False,57,21.006854,105.9,-0.617,full
EV_REC_0058,VF8VNF_0001,0,58,2026-01-01T14:30:00,13.62,1063,59.1,371.59,21.29,37.24,DEADHEAD,0,10,False,58,21.051861,105.873144,0.246,full
EV_REC_0059,VF8VNF_0001,0,59,2026-01-01T14:45:00,40.35,2860,60.33,373.28,40.65,31.97,DRIVING_PASSENGER,0,10,False,59,21.012372,105.842245,-0.35,full
EV_REC_0060,VF8VNF_0001,0,60,2026-01-01T15:00:00,31.31,2509,57.41,371.94,1.82,32.9,DRIVING_PASSENGER,0,10,False,60,21.020025,105.821308,0.517,full
EV_REC_0061,VF8VNF_0001,0,61,2026-01-01T15:15:00,0.0,0,55.97,377.1,0.84,25.18,IDLE,0,10,False,61,21.031273,105.834449,0.0,full
EV_REC_0062,VF8VNF_0001,0,62,2026-01-01T15:30:00,18.92,1527,54.85,371.35,15.81,29.96,DRIVING_PASSENGER,0,10,False,62,21.006759,105.785619,0.125,full
EV_REC_0063,VF8VNF_0001,0,63,2026-01-01T15:45:00,0.0,0,31.92,368.01,-0.63,36.74,IDLE,0,10,False,63,21.028809,105.824654,0.0,full
EV_REC_0064,VF8VNF_0001,0,64,2026-01-01T16:00:00,12.97,1082,52.67,369.97,10.5,31.56,DRIVING_PASSENGER,0,10,False,64,21.02428,105.836657,0.025,full
EV_REC_0065,VF8VNF_0001,0,65,2026-01-01T16:15:00,25.71,1984,51.13,371.84,38.42,29.81,DRIVING_PASSENGER,0,10,False,65,21.036591,105.803118,0.43,full
EV_REC_0066,VF8VNF_0001,0,66,2026-01-01T16:30:00,0.0,0,51.31,373.78,0.81,25.76,IDLE,0,10,False,66,21.028074,105.828487,0.0,full
EV_REC_0067,VF8VNF_0001,0,67,2026-01-01T16:45:00,45.41,3380,49.97,376.11,23.12,26.13,DRIVING_PASSENGER,0,10,False,67,21.034976,105.81892,-0.159,full
EV_REC_0068,VF8VNF_0001,0,68,2026-01-01T17:00:00,12.54,564,50.94,376.39,0.0,33.46,DRIVING_PASSENGER,0,10,False,68,21.00395,105.834286,0.095,full
EV_REC_0069,VF8VNF_0001,0,69,2026-01-01T17:15:00,22.27,1155,48.42,375.24,18.83,28.02,DEADHEAD,0,10,False,69,21.027557,105.847703,0.487,full
EV_REC_0070,VF8VNF_0001,0,70,2026-01-01T17:30:00,11.92,1032,48.25,374.85,23.75,31.22,DRIVING_PASSENGER,0,10,False,70,21.00655,105.803809,0.097,full
EV_REC_0071,VF8VNF_0001,0,71,2026-01-01T17:45:00,13.53,1038,47.83,373.32,0.0,36.66,DRIVING_PASSENGER,0,10,False,71,21.01666,105.870304,-0.3,full
EV_REC_0072,VF8VNF_0001,0,72,2026-01-01T18:00:00,0.0,0,32.13,368.8,1.26,31.35,IDLE,0,10,False,72,21.035133,105.832468,0.0,full
EV_REC_0073,VF8VNF_0001,0,73,2026-01-01T18:15:00,0.0,0,29.95,370.18,-0.64,35.14,IDLE,0,10,False,73,21.032467,105.822208,0.0,full
EV_REC_0074,VF8VNF_0001,0,74,2026-01-01T18:30:00,0.0,0,30.2,367.44,2.05,25.99,IDLE,0,10,False,74,21.026037,105.819604,0.0,full
EV_REC_0075,VF8VNF_0001,0,75,2026-01-01T18:45:00,0.0,0,28.95,372.64,2.05,34.54,IDLE,0,10,False,75,21.027974,105.816891,0.0,full
EV_REC_0076,VF8VNF_0001,0,76,2026-01-01T19:00:00,0.0,0,31.35,369.45,-2.71,38.29,IDLE,0,10,False,76,21.026175,105.825436,0.0,full
EV_REC_0077,VF8VNF_0001,0,77,2026-01-01T19:15:00,0.0,0,30.48,369.34,-0.29,20.23,IDLE,0,10,False,77,21.026922,105.8265,0.0,full
EV_REC_0078,VF8VNF_0001,0,78,2026-01-01T19:30:00,0.0,0,30.71,370.61,1.23,32.09,IDLE,0,10,False,78,21.023594,105.8179,0.0,full
EV_REC_0079,VF8VNF_0001,0,79,2026-01-01T19:45:00,0.0,0,30.85,368.28,2.44,29.21,IDLE,0,10,False,79,21.022046,105.829711,0.0,full
EV_REC_0080,VF8VNF_0001,0,80,2026-01-01T20:00:00,0.0,0,32.59,375.95,-47.68,26.17,CHARGING,0,10,False,80,21.02663,105.820377,0.0,full
EV_REC_0081,VF8VNF_0001,0,81,2026-01-01T20:15:00,0.0,0,33.76,369.27,-40.47,35.66,CHARGING,0,10,False,81,21.02134,105.819587,0.0,full
EV_REC_0082,VF8VNF_0001,0,82,2026-01-01T20:30:00,0.0,0,37.17,374.75,-43.79,29.43,CHARGING,0,10,False,82,21.020583,105.81969,0.0,full
EV_REC_0083,VF8VNF_0001,0,83,2026-01-01T20:45:00,0.0,0,40.47,373.82,-39.65,34.77,CHARGING,0,10,False,83,21.022086,105.8239,0.0,full
EV_REC_0084,VF8VNF_0001,0,84,2026-01-01T21:00:00,0.0,0,41.46,372.85,-36.6,33.02,CHARGING,0,10,False,84,21.019526,105.822338,0.0,full
EV_REC_0085,VF8VNF_0001,0,85,2026-01-01T21:15:00,0.0,0,45.53,370.84,-46.57,36.4,CHARGING,0,10,False,85,21.024537,105.818294,0.0,full
EV_REC_0086,VF8VNF_0001,0,86,2026-01-01T21:30:00,0.0,0,45.67,372.89,-30.11,36.9,CHARGING,0,10,False,86,21.034303,105.824227,0.0,full
EV_REC_0087,VF8VNF_0001,0,87,2026-01-01T21:45:00,0.0,0,49.5,371.96,-27.58,33.51,CHARGING,0,10,False,87,21.023686,105.828276,0.0,full
EV_REC_0088,VF8VNF_0001,0,88,2026-01-01T22:00:00,0.0,0,49.97,373.01,-45.58,23.94,CHARGING,0,10,False,88,21.030643,105.831774,0.0,full
EV_REC_0089,VF8VNF_0001,0,89,2026-01-01T22:15:00,0.0,0,53.79,377.78,-27.9,26.16,CHARGING,0,10,False,89,21.029995,105.825716,0.0,full
EV_REC_0090,VF8VNF_0001,0,90,2026-01-01T22:30:00,0.0,0,56.24,377.12,-24.94,29.87,CHARGING,0,10,False,90,21.022061,105.827059,0.0,full
EV_REC_0091,VF8VNF_0001,0,91,2026-01-01T22:45:00,0.0,0,58.39,373.42,-20.82,28.52,CHARGING,0,10,False,91,21.023399,105.825975,0.0,full
EV_REC_0092,VF8VNF_0001,0,92,2026-01-01T23:00:00,0.0,0,59.99,374.41,-26.48,28.27,CHARGING,0,10,False,92,21.026979,105.818543,0.0,full
EV_REC_0093,VF8VNF_0001,0,93,2026-01-01T23:15:00,0.0,0,62.39,377.34,-50.96,33.26,CHARGING,0,10,False,93,21.029261,105.829932,0.0,full
EV_REC_0094,VF8VNF_0001,0,94,2026-01-01T23:30:00,0.0,0,66.82,373.15,-30.02,32.3,CHARGING,0,10,False,94,21.017848,105.832309,0.0,full
EV_REC_0095,VF8VNF_0001,0,95,2026-01-01T23:45:00,0.0,0,67.58,373.84,-31.6,30.27,CHARGING,0,10,False,95,21.018647,105.814045,0.0,full
EV_REC_0096,VF8VNF_0001,1,0,2026-01-02T00:00:00,0.0,0,80.35,381.37,-38.65,30.27,CHARGING,1,10,False,0,21.02852,105.829987,0.0,full
EV_REC_0097,VF8VNF_0001,1,1,2026-01-02T00:15:00,0.0,0,82.93,379.64,-49.21,36.43,CHARGING,1,10,False,1,21.02975,105.825035,0.0,full
EV_REC_0098,VF8VNF_0001,1,2,2026-01-02T00:30:00,0.0,0,85.24,380.62,-36.25,25.76,CHARGING,1,10,False,2,21.024668,105.825066,0.0,full
EV_REC_0099,VF8VNF_0001,1,3,2026-01-02T00:45:00,0.0,0,87.21,376.66,-33.68,27.04,CHARGING,1,10,False,3,21.025056,105.82469,0.0,full
EV_REC_0100,VF8VNF_0001,1,4,2026-01-02T01:00:00,0.0,0,86.97,377.31,-40.87,21.21,CHARGING,1,10,False,4,21.030383,105.831804,0.0,full
EV_REC_0101,VF8VNF_0001,1,5,2026-01-02T01:15:00,0.0,0,90.52,380.4,-40.54,24.6,CHARGING,1,10,False,5,21.025769,105.823385,0.0,full
EV_REC_0102,VF8VNF_0001,1,6,2026-01-02T01:30:00,0.0,0,91.69,378.57,-35.98,32.98,CHARGING,1,10,False,6,21.022497,105.828895,0.0,full
EV_REC_0103,VF8VNF_0001,1,7,2026-01-02T01:45:00,0.0,0,93.89,384.13,-43.88,21.65,CHARGING,1,10,False,7,21.027521,105.81531,0.0,full
EV_REC_0104,VF8VNF_0001,1,8,2026-01-02T02:00:00,0.0,0,95.46,381.78,-28.26,35.5,CHARGING,1,10,False,8,21.019626,105.826351,0.0,full
EV_REC_0105,VF8VNF_0001,1,9,2026-01-02T02:15:00,0.0,0,96.19,378.34,-2.05,32.32,IDLE,1,10,False,9,21.021492,105.822323,0.0,full
EV_REC_0106,VF8VNF_0001,1,10,2026-01-02T02:30:00,0.0,0,95.38,381.67,2.37,37.1,IDLE,1,10,False,10,21.027523,105.821199,0.0,full
EV_REC_0107,VF8VNF_0001,1,11,2026-01-02T02:45:00,0.0,0,96.3,375.51,4.43,25.66,IDLE,1,10,False,11,21.034518,105.82704,0.0,full
EV_REC_0108,VF8VNF_0001,1,12,2026-01-02T03:00:00,0.0,0,94.99,377.54,2.01,25.79,IDLE,1,10,False,12,21.022964,105.82399,0.0,full
EV_REC_0109,VF8VNF_0001,1,13,2026-01-02T03:15:00,0.0,0,97.38,380.86,0.54,29.94,IDLE,1,10,False,13,21.028798,105.827209,0.0,full
EV_REC_0110,VF8VNF_0001,1,14,2026-01-02T03:30:00,0.0,0,96.79,382.58,-1.62,38.26,IDLE,1,10,False,14,21.024636,105.825223,0.0,full
EV_REC_0111,VF8VNF_0001,1,15,2026-01-02T03:45:00,0.0,0,95.82,378.85,-3.95,31.24,IDLE,1,10,False,15,21.020588,105.828187,0.0,full
EV_REC_0112,VF8VNF_0001,1,16,2026-01-02T04:00:00,0.0,0,94.62,380.25,0.01,27.26,IDLE,1,10,False,16,21.022717,105.832213,0.0,full
EV_REC_0113,VF8VNF_0001,1,17,2026-01-02T04:15:00,0.0,0,96.15,382.8,-1.43,36.62,IDLE,1,10,False,17,21.02726,105.82992,0.0,full
EV_REC_0114,VF8VNF_0001,1,18,2026-01-02T04:30:00,0.0,0,96.62,381.1,-2.37,34.0,IDLE,1,10,False,18,21.033318,105.822939,0.0,full
EV_REC_0115,VF8VNF_0001,1,19,2026-01-02T04:45:00,0.0,0,96.94,381.28,0.52,36.05,IDLE,1,10,False,19,21.025288,105.819765,0.0,full
EV_REC_0116,VF8VNF_0001,1,20,2026-01-02T05:00:00,0.0,0,98.08,379.78,-0.88,28.39,IDLE,1,10,False,20,21.02784,105.831192,0.0,full
EV_REC_0117,VF8VNF_0001,1,21,2026-01-02T05:15:00,0.0,0,95.56,380.49,1.74,27.33,IDLE,1,10,False,21,21.028361,105.832789,0.0,full
EV_REC_0118,VF8VNF_0001,1,22,2026-01-02T05:30:00,0.0,0,97.12,382.74,-2.16,28.75,IDLE,1,10,False,22,21.028126,105.822421,0.0,full
EV_REC_0119,VF8VNF_0001,1,23,2026-01-02T05:45:00,0.0,0,97.25,383.35,-1.21,32.08,IDLE,1,10,False,23,21.0174,105.808429,0.0,full
EV_REC_0120,VF8VNF_0001,1,24,2026-01-02T06:00:00,16.16,1367,94.41,381.2,29.24,32.82,DEADHEAD,1,10,False,24,21.015055,105.810694,0.143,full
EV_REC_0121,VF8VNF_0001,1,25,2026-01-02T06:15:00,20.05,1527,96.57,379.28,17.38,23.59,DRIVING_PASSENGER,1,10,False,25,21.008308,105.826851,0.075,full
EV_REC_0122,VF8VNF_0001,1,26,2026-01-02T06:30:00,38.29,3354,95.73,379.99,27.02,32.07,DRIVING_PASSENGER,1,10,False,26,21.066354,105.792106,0.036,full
EV_REC_0123,VF8VNF_0001,1,27,2026-01-02T06:45:00,38.36,3074,92.55,379.89,23.86,30.86,DRIVING_PASSENGER,1,10,False,27,21.019211,105.82527,0.216,full
EV_REC_0124,VF8VNF_0001,1,28,2026-01-02T07:00:00,17.49,1335,92.84,376.98,26.68,29.05,DRIVING_PASSENGER,1,10,False,28,21.005461,105.795804,-0.115,full
EV_REC_0125,VF8VNF_0001,1,29,2026-01-02T07:15:00,15.97,932,90.48,378.71,27.53,31.42,DRIVING_PASSENGER,1,10,False,29,21.060376,105.828976,0.557,full
EV_REC_0126,VF8VNF_0001,1,30,2026-01-02T07:30:00,0.0,0,36.42,370.98,0.75,35.92,IDLE,1,10,False,30,21.029032,105.823877,0.0,full
EV_REC_0127,VF8VNF_0001,1,31,2026-01-02T07:45:00,18.32,1485,91.03,375.55,16.51,37.48,DRIVING_PASSENGER,1,10,False,31,21.006071,105.796575,0.44,full
EV_REC_0128,VF8VNF_0001,1,32,2026-01-02T08:00:00,34.31,2510,90.0,377.89,9.09,27.77,DRIVING_PASSENGER,1,10,False,32,20.994846,105.827084,0.458,full
EV_REC_0129,VF8VNF_0001,1,33,2026-01-02T08:15:00,20.28,1643,87.37,379.57,30.73,29.3,DRIVING_PASSENGER,1,10,False,33,21.023677,105.824986,0.32,full
EV_REC_0130,VF8VNF_0001,1,34,2026-01-02T08:30:00,18.25,1697,85.83,377.36,27.36,24.63,DEADHEAD,1,10,False,34,21.022228,105.847421,-0.102,full
EV_REC_0131,VF8VNF_0001,1,35,2026-01-02T08:45:00,0.0,0,86.6,378.3,1.96,39.18,IDLE,1,10,False,35,21.017362,105.829017,0.0,full
EV_REC_0132,VF8VNF_0001,1,36,2026-01-02T09:00:00,22.31,1424,85.12,374.57,13.61,35.4,DRIVING_PASSENGER,1,10,False,36,21.059504,105.842044,0.351,full
EV_REC_0133,VF8VNF_0001,1,37,2026-01-02T09:15:00,18.29,1307,81.94,377.57,5.37,33.61,DRIVING_PASSENGER,1,10,False,37,20.996369,105.815118,0.631,full
EV_REC_0134,VF8VNF_0001,1,38,2026-01-02T09:30:00,0.0,0,84.37,377.29,-1.59,29.35,IDLE,1,10,False,38,21.013636,105.818634,0.0,full
EV_REC_0135,VF8VNF_0001,1,39,2026-01-02T09:45:00,0.0,0,38.45,371.57,2.38,30.52,IDLE,1,10,False,39,21.021285,105.832838,0.0,full
EV_REC_0136,VF8VNF_0001,1,40,2026-01-02T10:00:00,0.0,0,38.66,373.44,-4.13,28.77,IDLE,1,10,False,40,21.022311,105.828798,0.0,full
EV_REC_0137,VF8VNF_0001,1,41,2026-01-02T10:15:00,0.0,0,38.82,376.77,-2.49,35.92,IDLE,1,10,False,41,21.027709,105.823577,0.0,full
EV_REC_0138,VF8VNF_0001,1,42,2026-01-02T10:30:00,0.0,0,37.33,371.0,0.88,45.0,IDLE,1,10,False,42,21.024453,105.831661,0.0,full
EV_REC_0139,VF8VNF_0001,1,43,2026-01-02T10:45:00,0.0,0,39.44,370.75,1.82,37.63,IDLE,1,10,False,43,21.031416,105.831172,0.0,full
EV_REC_0140,VF8VNF_0001,1,44,2026-01-02T11:00:00,0.0,0,37.46,373.41,-5.73,43.37,IDLE,1,10,False,44,21.027232,105.827611,0.0,full
EV_REC_0141,VF8VNF_0001,1,45,2026-01-02T11:15:00,0.0,0,37.54,370.26,1.73,30.23,IDLE,1,10,False,45,21.022631,105.827739,0.0,full
EV_REC_0142,VF8VNF_0001,1,46,2026-01-02T11:30:00,0.0,0,37.2,369.89,0.47,30.36,IDLE,1,10,False,46,21.01114,105.828831,0.0,full
EV_REC_0143,VF8VNF_0001,1,47,2026-01-02T11:45:00,0.0,0,39.24,373.78,-0.65,37.27,IDLE,1,10,False,47,21.022687,105.811555,0.0,full
EV_REC_0144,VF8VNF_0001,1,48,2026-01-02T12:00:00,0.0,0,37.62,371.27,2.45,36.73,IDLE,1,10,False,48,21.031815,105.843592,0.0,full
EV_REC_0145,VF8VNF_0001,1,49,2026-01-02T12:15:00,0.0,0,37.36,368.11,3.01,24.36,IDLE,1,10,False,49,21.026423,105.823101,0.0,full
EV_REC_0146,VF8VNF_0001,1,50,2026-01-02T12:30:00,0.0,0,37.95,368.51,-1.32,39.82,IDLE,1,10,False,50,21.023073,105.821253,0.0,full
EV_REC_0147,VF8VNF_0001,1,51,2026-01-02T12:45:00,0.0,0,37.74,369.4,-0.82,41.08,IDLE,1,10,False,51,21.025471,105.835571,0.0,full
EV_REC_0148,VF8VNF_0001,1,52,2026-01-02T13:00:00,0.0,0,38.02,370.37,0.22,38.33,IDLE,1,10,False,52,21.016406,105.821651,0.0,full
EV_REC_0149,VF8VNF_0001,1,53,2026-01-02T13:15:00,0.0,0,37.54,368.94,-0.6,30.79,IDLE,1,10,False,53,21.027689,105.824111,0.0,full
EV_REC_0150,VF8VNF_0001,1,54,2026-01-02T13:30:00,0.0,0,52.56,372.93,-25.69,36.48,CHARGING,1,10,False,54,21.023672,105.832046,0.0,full
EV_REC_0151,VF8VNF_0001,1,55,2026-01-02T13:45:00,0.0,0,71.14,375.57,-30.59,27.43,CHARGING,1,10,False,55,21.028042,105.8263,0.0,full
